sku,name,price,brand,category,rating,reviews_count,url,release_date,updated_at,cpu,cpu_cores,cpu_threads,cpu_speed,gpu,ram,max_ram,ram_type,ram_bus,storage,webcam,screen_panel,screen_size,screen_tech,screen_res,screen_rate,screen_nits,os,battery,weight,material,connectivity,ports
334694,"Laptop GIGABYTE AORUS 16X X6LAG - 9RX6LASGDDJIXDVN010 (i7 14650HX, 16GB, 1TB, RTX 4070 8GB, WQXGA 165Hz, Win11)",38390000,GIGABYTE,Laptop,5.0,4,https://www.thegioididong.com/laptop/gigabyte-aorus-16x-x6lag-i7-9rx6lasgddjixdvn010,2024,2025-09-17 01:11:30,Intel Core i7 Raptor Lake - 14650HX,16,24,2.20 GHz (Lên đến 5.20 GHz khi tải nặng),"Card rời - NVIDIA GeForce RTX 4070, 8 GB",16 GB,64 GB,DDR5 (1 khe 8 GB + 1 khe 8 GB),5600 MHz,"1 TB SSD NVMe PCIe Gen 4 x 4 (Có thể tháo ra, lắp thanh khác nâng cấp tối đa 4 TB)",HD webcam,IPS,"16""","Chống chói Anti Glare, 400 nits",WQXGA (2560 x 1600),165 Hz,400 nits,Windows 11 Home SL,"4-cell Li-ion, 99 Wh",2.345 kg,Vỏ nhựa,"Wi-Fi 7 (802.11be), Bluetooth 5.4","2 x USB 3.2, HDMI, 1 x USB Type-C (hỗ trợ DisplayPort), 1 x Thunderbolt 4 (hỗ trợ display/power delivery), 1 x Headphone/microphone combo, LAN (RJ45)"
336968,"Laptop MSI VenturePro 16 AI A1VEG - 003VN (Ultra 7 155H, 16GB, 512GB, RTX 4050 6GB, 2K OLED 120Hz, Win11)",33690000,MSI,Laptop,5.0,1,https://www.thegioididong.com/laptop/msi-venturepro-16-ai-a1veg-ultra-7-003vn,2025,2025-09-17 01:11:30,Intel Core Ultra 7 Meteor Lake - 155H,16,22,1.40 GHz (Lên đến 4.80 GHz khi tải nặng),"Card rời - NVIDIA GeForce RTX 4050, 6 GB",16 GB,96 GB,DDR5 (1 khe 8 GB + 1 khe 8 GB),5600 MHz,512 GB SSD NVMe PCIe,HD webcam,OLED,"15.6""",,"2K, OLED",120Hz,,Windows 11 Home SL,"4-cell, 55.2 Wh",1.9 kg,Vỏ nhựa - nắp lưng bằng kim loại,"Wi-Fi 6E (802.11ax), Bluetooth 5.3","Jack tai nghe 3.5 mm, 2 x USB 3.2, HDMI, LAN (RJ45), 1 x USB Type-C 3.2 (hỗ trợ Power Delivery và DisplayPort)"
321467,"Laptop HP Gaming VICTUS 15 fb1022AX - 94F19PA (R5 7535HS, 16GB, 512GB, RTX 2050 4GB, Full HD 144Hz, Win11)",16490000,HP,Laptop,5.0,3723,https://www.thegioididong.com/laptop/hp-victus-15-fb1022ax-r5-94f19pa,2023,2025-09-17 01:11:30,AMD Ryzen 5 - 7535HS,6,12,3.30 GHz (Lên đến 4.55 GHz khi tải nặng),"Card rời - NVIDIA GeForce RTX 2050, 4 GB",16 GB,32 GB,DDR5 (1 khe 8 GB + 1 khe 8 GB),4800 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",HD webcam,IPS,"15.6""","Chống chói Anti Glare, 250 nits",Full HD (1920 x 1080),144Hz,250 nits,Windows 11 Home SL,"3-cell, 52.5Wh",2.29 kg,Vỏ nhựa,"Wi-Fi 6 (802.11ax), Bluetooth 5.3","Jack tai nghe 3.5 mm, 2 x USB Type-A, HDMI, 1 x USB Type-C (hỗ trợ DisplayPort 1.4), LAN (RJ45)"
322100,"Laptop MSI Gaming Sword 16 HX B14VFKG - 045VN (i7 14700HX, 16GB, 1TB, RTX 4060 8GB, QHD+ 240Hz, Win11)",36690000,MSI,Laptop,4.9,199,https://www.thegioididong.com/laptop/msi-gaming-sword-16-hx-b14vfkg-i7-045vn,2024,2025-09-17 01:11:30,Intel Core i7 Raptor Lake - 14700HX,20,28,2.10 GHz (Lên đến 5.50 GHz khi tải nặng),"Card rời - NVIDIA GeForce RTX 4060, 8 GB",16 GB,96 GB,DDR5 (1 khe 8 GB + 1 khe 8 GB),5600 MHz,1 TB SSD NVMe PCIe Gen 4,HD webcam,IPS,"16""",,QHD+ (2560 x 1600),240Hz,,Windows 11 Home SL,"4-cell, 65Wh",2.3 kg,Vỏ nhựa,"Wi-Fi 6E (802.11ax), Bluetooth 5.3","Jack tai nghe 3.5 mm, 3 x USB 3.2, HDMI, 1 x USB Type-C (hỗ trợ USB 3.2, DisplayPort), LAN (RJ45)"
339954,"Laptop MSI Modern 14 F1MG - 432VN (Core 5 120U, 16GB, 512GB, Full HD, Win11)",17290000,MSI,Laptop,5.0,10,https://www.thegioididong.com/laptop/msi-modern-14-f1mg-core-5-432vn,2025,2025-09-17 01:11:30,Intel Core 5 Raptor Lake - 120U,10,12,1.40 GHz (Lên đến 5.00 GHz khi tải nặng),Card tích hợp - Intel Graphics,16 GB,64 GB,DDR4 (1 khe 16 GB + 1 khe rời),3200 MHz,512 GB SSD NVMe PCIe Gen 4.0,HD webcam,IPS,"14""","Chống chói Anti Glare, 250 nits",Full HD (1920 x 1080),60Hz,250 nits,Windows 11 Home SL,"3-cell, 46.8 Wh",1.5 kg,Vỏ nhựa,"Wi-Fi 6E (802.11ax), Bluetooth 5.3","Jack tai nghe 3.5 mm, 3 x USB 3.2, HDMI, LAN (RJ45), 1 x USB Type-C (hỗ trợ USB, Power Delivery và DisplayPort)"
339857,"Laptop Lenovo Gaming LOQ 15ARP9 - 83JC00KUVN (R5 7235HS, 24GB, 1TB, RTX 3050 6GB, Full HD 144Hz, Win11)",23690000,Lenovo,Laptop,5.0,391,https://www.thegioididong.com/laptop/lenovo-loq-15arp9-r5-83jc00kuvn,2025,2025-09-17 01:11:30,AMD Ryzen 5 - 7235HS,4,8,3.20 GHz (Lên đến 4.20 GHz khi tải nặng),"Card rời - NVIDIA GeForce RTX 3050, 6 GB",24 GB,32 GB,DDR5 (1 khe 12 GB + 1 khe 12 GB),4800 MHz,1 TB SSD NVMe PCIe Gen 4,HD webcam,IPS,"15.6""","Low Blue Light, G-Sync, Chống chói Anti Glare, 300 nits",Full HD (1920 x 1080),144Hz,300 nits,Windows 11 Home SL,60 Wh,2.38 kg,Vỏ nhựa,"Bluetooth 5.2, Wi-Fi 6 (802.11ax)","3 x USB 3.2, HDMI, 1 x USB-C 3.2 (hỗ trợ truyền dữ liệu, Power Delivery 140W và DisplayPort 1.4), 1 x Headphone/microphone combo, LAN (RJ45)"
333102,"Laptop Dell Inspiron 15 3520 - N3520-i7U165W11BLU-FP (i7 1255U, 16GB, 512GB, Full HD 120Hz, OfficeHS, Win11)",18990000,Dell,Laptop,5.0,1122,https://www.thegioididong.com/laptop/dell-inspiron-15-3520-i7-n3520i7u165w11blufp,2024,2025-09-17 01:11:30,Intel Core i7 Alder Lake - 1255U,10,12,1.70 GHz (Lên đến 4.70 GHz khi tải nặng),Card tích hợp - Intel Iris Xe Graphics,16 GB,16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),2666 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB (2280) / 1 TB (2230))",HD webcam,,"15.6""",WVA,Full HD (1920 x 1080),120Hz,,Windows 11 Home SL + Office Home 2024 vĩnh viễn + Microsoft 365 Basic,"4-cell, 54Wh",1.9 kg,Vỏ nhựa,"Bluetooth 5.0, Wi-Fi 802.11 a/b/g/n/ac","1 x USB 2.0, Jack tai nghe 3.5 mm, 2 x USB 3.2, HDMI"
328906,"Laptop HP 240 G9 - AG2J5AT (i3 1215U, 8GB, 512GB, Full HD, Win11)",10390000,HP,Laptop,4.9,3454,https://www.thegioididong.com/laptop/hp-240-g9-i3-ag2j5at,2024,2025-09-17 01:11:30,Intel Core i3 Alder Lake - 1215U,6,8,1.2GHz,Card tích hợp - Intel UHD Graphics,8 GB,32 GB,DDR4 (1 khe 8 GB + 1 khe rời),3200 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",HD webcam,IPS,"14""","Chống chói Anti Glare, 250 nits",Full HD (1920 x 1080),60Hz,250 nits,Windows 11 Home SL,"3-cell Li-ion, 41 Wh",1.42 kg,Vỏ nhựa,"Bluetooth 5.0, Wi-Fi 802.11 a/b/g/n/ac","2 x USB 3.2, HDMI, 1 x Headphone/microphone combo, LAN (RJ45), USB Type-C"
338322,"Laptop Asus Vivobook S16 S3607VA - RP055WS (i5 13420H, 16GB, 512GB, WUXGA 144Hz, OfficeH24+365, Win11)",17990000,Asus,Laptop,5.0,453,https://www.thegioididong.com/laptop/asus-s3607va-i5-rp055ws,2025,2025-09-17 01:11:32,Intel Core i5 Raptor Lake - 13420H,8,12,2.10 GHz (Lên đến 4.60 GHz khi tải nặng),Card tích hợp - Intel UHD Graphics,16 GB,24 GB,DDR5 (1 khe 8 GB onboard + 1 khe 8 GB),4800 MHz,512 GB SSD NVMe PCIe,"Full HD Webcam, Camera IR",IPS,"16""","Chống chói Anti Glare, LED Backlit, 300 nits",WUXGA (1920 x 1200),144Hz,300 nits,Windows 11 Home SL + Office Home 2024 vĩnh viễn + Microsoft 365 Basic,"4-cell Li-ion, 70 Wh",1.8 kg,Vỏ kim loại - Nhôm,"Wi-Fi 6 (802.11ax), Bluetooth 5.3","Jack tai nghe 3.5 mm, 2 x USB 3.2, HDMI, 2 x USB Type-C (Power Delivery and DisplayPort)"
340491,"Laptop Lenovo V14 G4 AMN - 82YT00YNVN (R5 7520U, 16GB, 512GB, Full HD, Win11)",12490000,Lenovo,Laptop,5.0,327,https://www.thegioididong.com/laptop/lenovo-v14-g4-amn-r5-82yt00ynvn,2025,2025-09-17 01:11:32,AMD Ryzen 5 - 7520U,4,8,2.80 GHz (Lên đến 4.30 GHz khi tải nặng),Card tích hợp - AMD Radeon Graphics,16 GB,Không hỗ trợ nâng cấp,LPDDR5 (Onboard),5500 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",HD webcam,IPS,"14""","Chống chói Anti Glare, 300 nits",Full HD (1920 x 1080),Hãng không công bố,300 nits,Windows 11 Home SL,"2-cell, 38Wh",1.37 kg,Vỏ nhựa,"Bluetooth 5.2, Wi-Fi 6 (802.11ax)","2 x USB 3.2, HDMI, 1x USB-C 3.2 (hỗ trợ truyền dữ liệu, Power Delivery và DisplayPort 1.2), 1 x Headphone/microphone combo, LAN (RJ45)"
