sku,name,price,brand,category,rating,reviews_count,url,release_date,screen_type,screen_panel,screen_size,screen_tech,screen_res,screen_rate,power_consumption,ports,weight,updated_at
321397,Màn hình Gaming Xiaomi G27i 27 inch FHD/IPS/165Hz/1ms/FreeSync/HDMI,3090000,Xiaomi,Screen,5.0,1186,https://www.thegioididong.com/man-hinh-may-tinh/xiaomi-g27i-27-inch-fhd,2024,Phẳng,IPS,27 inch,"Giảm ánh sáng xanh, Sai lệch màu Delta E< 2, AMD FreeSync Premium, HDR10",Full HD (1920 x 1080),165 Hz,36 W,"1 x DisplayPort, 1 x Jack tai nghe 3.5 mm, HDMI",3.6 kg,2025-09-09 11:47:33
335639,Màn hình Dell UltraSharp U2424H 23.8 inch FHD/IPS/120Hz/5ms,5390000,Dell,Screen,5.0,242,https://www.thegioididong.com/man-hinh-may-tinh/dell-ultrasharp-u2424h-23-8-inch-fhd-ips-120hz-5ms,2024,Phẳng,IPS,23.8 inch,"Chống ánh sáng xanh, Daisy Chain, Sai lệch màu Delta E< 2",Full HD (1920 x 1080),120 Hz,72W,"1 x USB Type-A downstream (USB SuperSpeed ​​10 Gbps, USB 3.2 Gen 2) với sạc nguồn BC1.2, 1 x Audio Out, 1 x DisplayPort 1.4 (Đầu ra) với MST (HDCP 1.4), 1 x HDMI (HDCP 1.4) (hỗ trợ lên đến FHD 1920 x 1080 120Hz TMDS theo quy định trong HDMI 1.4), 1 x USB Type-C upstream (chỉ dữ liệu, SuperSpeed ​​USB 10 Gbps, USB 3.2 Gen 2), 1 x USB Type-C downstream (USB SuperSpeed ​​10 Gbps, USB 3.2 Gen 2) có sạc nguồn (15W), 2 x USB Type-A downstream (USB SuperSpeed ​​10 Gbps, USB 3.2 Gen 2), 1 x DisplayPort 1.4 (DRR cho Microsoft Windows) (HDCP 1.4)",5.38 kg,2025-09-09 11:47:33
338143,Màn hình Gaming Asus ROG Strix XG27AQDMG 26.5 inch 2K/WOLED/240Hz/0.03ms,16590000,Asus,Screen,5.0,4,https://www.thegioididong.com/man-hinh-may-tinh/asus-rog-strix-xg27aqdmg-26-52k-woled-240hz-0-03ms,2024,Phẳng,WOLED,26.5 inch,"DisplayWidget Center, Shadow Boost, HDCP 2.2, Aspect Control, Game Visual, Công nghệ Trace Free, GamePlus, ASUS Extreme Low Motion Blur, Low Blue Light, Sai lệch màu Delta E< 2, AMD FreeSync Premium, G-Sync Compatible",QHD (2560 x 1440),240 Hz,25W,"2 x HDMI 2.0, 1 x DisplayPort 1.4 DSC, 1 x Jack tai nghe 3.5 mm, 2 x USB 3.2",6.7 kg,2025-09-09 11:47:33
331923,Màn hình LG 24MR400-B.ATVQ 23.8 inch FHD/IPS/100Hz/5ms,2190000,LG,Screen,5.0,488,https://www.thegioididong.com/man-hinh-may-tinh/lg-24mr400-b-atvq-23-8-inch-fhd-ips-100hz-5ms,2023,Phẳng,IPS,23.8 inch,"Super Resolution+, AMD FreeSync",Full HD (1920 x 1080),100 Hz,22W,"1 x Headphone out 3-Pole (Sound only), 1 x HDMI",2.94 kg,2025-09-09 11:47:33
324058,Màn hình MSI Pro MP225 21.45 inch FHD/IPS/100Hz/1ms/HDMI,1590000,MSI,Screen,4.9,2274,https://www.thegioididong.com/man-hinh-may-tinh/msi-pro-mp225-2145-inch-fhd,2023,Phẳng,IPS,"21.45""","Công nghệ chống nháy - Flicker-free, Giảm ánh sáng xanh, Eyesergo, Chống chói Anti-Glare, Adaptive-Sync",Full HD (1920 x 1080),100 Hz,15 W,"1 x Headphone-out, 1 x HDMI 1.4, 1 x D-Sub (VGA)",2.3 kg,2025-09-09 11:47:33
334382,Màn hình Gaming Acer Nitro KG270 X1 27 inch FHD/IPS/200Hz/4ms,3590000,Acer,Screen,5.0,209,https://www.thegioididong.com/man-hinh-may-tinh/acer-nitro-kg270-x1-27-inch-fhd-ips-200hz-4ms,2024,Phẳng,IPS,27 inch,"Công nghệ chống nháy - Flicker-free, Blue Light Shield, Black Boost, Acer VisionCare, Acer ComfyView, AMD FreeSync Premium, HDR10",Full HD (1920 x 1080),200 Hz,21W,"2 x HDMI 2.0, 1 x Audio Out, 1 x DisplayPort 1.4",3.8 kg,2025-09-09 11:47:33
333565,Màn hình Viewsonic VA2732A-H 27 inch FHD/IPS/120Hz/1ms,2590000,Viewsonic,Screen,5.0,391,https://www.thegioididong.com/man-hinh-may-tinh/viewsonic-va2732a-h-27-inch-fhd-ips-120hz-1ms,2024,Phẳng,IPS,27 inch,"Eye Protech+, Công nghệ chống nháy - Flicker-free, Lọc ánh sáng xanh, Adaptive-Sync",Full HD (1920 x 1080),120 Hz,26W,"1 x Jack tai nghe 3.5 mm, 1 x HDMI 1.4, 1 x D-Sub (VGA)",4.1 kg,2025-09-09 11:47:33
342555,"Màn hình Dell UltraSharp U2725QE (27 inch 4K, IPS, 120Hz, 5ms)",16690000,Dell,Screen,5.0,1,https://www.thegioididong.com/man-hinh-may-tinh/man-hinh-dell-ultrasharp-u2725qe-27-inch-4k-ips-120hz-5ms,2025,Phẳng,IPS,27 inch,"Sai lệch màu Delta E< 1.5, Picture in Picture, Ambient Light Sensor, Picture-by-picture, Eye Comfort, Chống chói Anti-Glare, DisplayHDR 600",UHD (3840 x 2160),120 Hz,25.4 W,"5 x USB 3.2 Gen 2, 3 x USB-C 3.2 Gen 2, 1 x DisplayPort 1.4 - port out, 1 x LAN (RJ45), 1 x DisplayPort 1.4 DSC (DRR cho Microsoft Windows), 1 x Thunderbolt 4 upstream (DisplayPort 1.4,Power Delivery 140W), 1 x Thunderbolt 4 downstream (Daisy Chain, 15 W), 1 x Jack tai nghe 3.5 mm, 1 x HDMI (Hỗ trợ lên đến UHD 3840 x 2160, 120 Hz FRL, VRR theo quy định trong HDMI 2.1)",7.06 kg,2025-09-09 11:47:33
334382,Màn hình Gaming Acer Nitro KG270 X1 27 inch FHD/IPS/200Hz/4ms,3590000,Acer,Screen,5.0,209,https://www.thegioididong.com/man-hinh-may-tinh/acer-nitro-kg270-x1-27-inch-fhd-ips-200hz-4ms,2024,Phẳng,IPS,27 inch,"Công nghệ chống nháy - Flicker-free, Blue Light Shield, Black Boost, Acer VisionCare, Acer ComfyView, AMD FreeSync Premium, HDR10",Full HD (1920 x 1080),200 Hz,21W,"2 x HDMI 2.0, 1 x Audio Out, 1 x DisplayPort 1.4",3.8 kg,2025-09-09 11:47:33
331656,Màn hình Dell P2725H 27 inch FHD/IPS/100Hz/5ms,5590000,Dell,Screen,5.0,164,https://www.thegioididong.com/man-hinh-may-tinh/dell-p2725h-27-inch-fhd-ips-100hz-5ms,2024,Phẳng,IPS,27 inch,"Công nghệ chống nháy - Flicker-free, ComfortView Plus",Full HD (1920 x 1080),100 Hz,65 W,"1 x USB 3.2 Type-B upstream, 3 x USB 3.2 Type-A downstream, 1 x USB 3.2 Type-C downstream (PD of up to 15W), 1 x HDMI 1.4, 1 x DisplayPort 1.2, 1 x D-Sub (VGA)",6.05 kg,2025-09-09 11:47:33
