sku,name,price,brand,category,rating,reviews_count,url,release_date,updated_at,cpu,cpu_speed,gpu,ram,storage,rearcam_specs,frontcam_specs,screen_size,screen_panel,screen_res,screen_rate,os,water_resistant,battery,charger,weight,material,connectivity,network,ports
320991,Máy tính bảng TCL Tab 11 WiFi 4GB/128GB,4220000,TCL,Tablet,4.9,2069,https://www.thegioididong.com/may-tinh-bang/tcl-tab-11,08/2023,2025-09-24 07:17:53,Helio P60T,2 GHz,Mali-G72 MP3,4 GB,128 GB,8 MP,8 MP,"10.95""",IPS LCD,1200 x 2000 Pixels,60 Hz,Android 13,,8000 mAh,18 W,462 g,Nhôm nguyên khối,"v5.0, Wi-Fi Direct, Wi-Fi 802.11 a/b/g/n/ac, Dual-band",,Type-C
339828,Máy tính bảng HONOR Pad X9a 8GB/256GB,6870000,HONOR,Tablet,4.9,231,https://www.thegioididong.com/may-tinh-bang/honor-pad-x9a,07/2025,2025-09-24 07:17:55,Snapdragon 685 8 nhân,4 nhân 2.8 GHz & 4 nhân 1.9 GHz,Adreno 610,8 GB,256 GB,8 MP,5 MP,"11.5""",IPS LCD,1504 x 2508 Pixels,120 Hz,Android 15,,8300 mAh,35 W,475 g,Kim loại nguyên khối,"Wi-Fi 5, Dual-band, OTG, v5.1",,3.5 mm
315390,Máy tính bảng Samsung Galaxy Tab A9 WiFi 4GB/64GB,3620000,Samsung,Tablet,4.9,10880,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-a9,10/2023,2025-09-24 07:17:56,MediaTek Helio G99,2.2 GHz,Mali-G57 MC2,4 GB,64 GB,8 MP,2 MP,"8.7""",TFT LCD,800 x 1340 Pixels,60 Hz,Android 13,,5100 mAh,15 W,332 g,Nhôm nguyên khối,"Wi-Fi Direct, Wi-Fi 802.11 a/b/g/n/ac, Dual-band, v5.3",,3.5 mm
325507,Máy tính bảng iPad Air 6 M2 13 inch WiFi 256GB,21090000,iPad (Apple),Tablet,5.0,382,https://www.thegioididong.com/may-tinh-bang/ipad-air-m2-13-inch-wifi-256gb,05/2024,2025-09-24 07:17:59,Apple M2 8 nhân,Hãng không công bố,Apple GPU 9 nhân,8 GB,256 GB,12 MP,12 MP,"13""",Retina IPS LCD,2048 x 2732 Pixels,,iPadOS 17,,36.59 Wh,20 W,617 g,Nhôm nguyên khối,"Wi-Fi 6E, MIMO, Dual-band, v5.3",,Type-C
327293,Máy tính bảng Lenovo Tab Plus WiFi 8GB/256GB,7850000,Lenovo,Tablet,4.9,673,https://www.thegioididong.com/may-tinh-bang/lenovo-tab-plus-wifi-8gb-256gb,07/2024,2025-09-24 07:18:00,MediaTek Helio G99,2 nhân 2.2 GHz & 6 nhân 2 GHz,Mali-G57 MC2,8 GB,256 GB,8 MP,8 MP,"11.5""",IPS LCD,1200 x 2000 Pixels,90 Hz,Android 14,IP52,8600 mAh,45 W,650 g,Nhôm nguyên khối,"Wi-Fi Direct, Wi-Fi 802.11 a/b/g/n/ac, Dual-band, v5.2",,3.5 mm
315622,Máy tính bảng Xiaomi Redmi Pad SE WiFi 8GB/256GB,5690000,Xiaomi,Tablet,4.9,8776,https://www.thegioididong.com/may-tinh-bang/xiaomi-redmi-pad-se-8gb,09/2023,2025-09-24 07:18:00,Snapdragon 680 8 nhân,2.4 GHz,Adreno 610,8 GB,256 GB,8 MP,5 MP,"11""",IPS LCD,1200 x 1920 Pixels,90 Hz,Android 13,,8000 mAh,10 W,478 g,Kim loại nguyên khối,"v5.0, Wi-Fi 802.11 a/b/g/n/ac, Dual-band, OTG",,3.5 mm
325526,Máy tính bảng iPad Air 6 M2 13 inch 5G 256GB,25990000,iPad (Apple),Tablet,5.0,82,https://www.thegioididong.com/may-tinh-bang/ipad-air-m2-13-inch-wifi-cellular-256gb,05/2024,2025-09-24 07:18:00,Apple M2 8 nhân,Hãng không công bố,Apple GPU 9 nhân,8 GB,256 GB,12 MP,12 MP,"13""",Retina IPS LCD,2048 x 2732 Pixels,,iPadOS 17,,36.59 Wh,20 W,618 g,Nhôm nguyên khối,"v5.3, Wi-Fi hotspot, Wi-Fi 6E, MIMO, Dual-band",5G,Type-C
331233,Máy tính bảng iPad mini 7 5G 256GB,19890000,iPad (Apple),Tablet,5.0,213,https://www.thegioididong.com/may-tinh-bang/ipad-mini-7-5g-256gb,10/2024,2025-09-24 07:18:02,Apple A17 Pro 6 nhân,3.78 GHz,Apple GPU 5 nhân,8 GB,256 GB,12 MP,12 MP,"8.3""",LED-backlit IPS LCD,1488 x 2266 Pixels,,iPadOS 18,,19.3 Wh,20 W,297 g,Nhôm nguyên khối,"Wi-Fi 6E, MIMO, iBeacon, Dual-band, v5.3",5G,
326644,Máy tính bảng Lenovo Tab M11 4G 4GB/128GB,6080000,Lenovo,Tablet,4.9,672,https://www.thegioididong.com/may-tinh-bang/lenovo-tab-m11-4g,06/2024,2025-09-24 07:18:03,MediaTek Helio G88 8 nhân,2 nhân 2.0 GHz & 6 nhân 1.8 GHz,Mali-G52 MC2,4 GB,128 GB,8 MP,8 MP,"10.95""",IPS LCD,1200 x 1920 Pixels,90 Hz,Android 13,IP52,7040 mAh,10 W,465 g,Kim loại nguyên khối,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, v5.1",Hỗ trợ 4G,3.5 mm
325989,Máy tính bảng Xiaomi Redmi Pad Pro WiFi 8GB/128GB,7850000,Xiaomi,Tablet,4.9,2469,https://www.thegioididong.com/may-tinh-bang/xiaomi-redmi-pad-pro-8gb-128gb,06/2024,2025-09-24 07:18:03,Snapdragon 7s Gen 2 8 nhân,4 nhân 2.3 GHz & 4 nhân 1.95 GHz,Adreno 710,8 GB,128 GB,8 MP,8 MP,"12.1""",IPS LCD,1600 x 2560 Pixels,120 Hz,Xiaomi HyperOS (Android 14),,10000 mAh,33 W,571 g,Kim loại nguyên khối,"v5.2, Wi-Fi Direct, Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi 6, MIMO, Dual-band",,3.5 mm
