id,name,price,brand,category,chipset,storage,screen_size,screen_tech,operating_system,connectivity,battery,rating,reviews_count,url,created_at,updated_at
341685,Apple Watch Series 10 46mm viền nhôm dây thể thao S/M,11390000,Apple,Smartwatch,Apple S10 SiP,64 GB,Hãng không công bố,OLED,watchOS phiên bản mới nhất,Bluetooth v5.3,Hãng không công bố,5.0,17,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-series-10-46mm-vien-nhom-day-the-thao-s-m,09/2024,2025-09-02 15:16:39
330179,Huawei Watch GT 5 Pro 42mm viền gốm dây cao su,8040000,Huawei,Smartwatch,Hãng không công bố,Hãng không công bố,1.32 inch,AMOLED,Harmony OS,Bluetooth v5.2,Hãng không công bố,5.0,238,https://www.thegioididong.com/dong-ho-thong-minh/huawei-watch-gt-5-pro-42mm-vien-gom-day-cao-su,10/2024,2025-09-02 15:16:39
335763,Vòng đeo tay thông minh Huawei Band 10 viền nhôm,810000,Huawei,Smartband,Hãng không công bố,Hãng không công bố,1.47 inch,AMOLED,Harmony OS,Bluetooth v5.0,180 mAh,4.9,3541,https://www.thegioididong.com/dong-ho-thong-minh/huawei-band-10-vien-nhom,04/2025,2025-09-02 15:16:39
236904,Đồng hồ định vị trẻ em Kidcare S6 4G,1650000,Kidcare,Smartwatch,SL8521ET,512 MB,1.3 inch,TFT,XunOS,LBS,860 mAh,4.9,54358,https://www.thegioididong.com/dong-ho-thong-minh/kidcare-s6-day-silicone,5/2021,2025-09-02 15:16:41
333790,Đồng hồ định vị trẻ em Kidcare Sight S1,2050000,Kidcare,Smartwatch,W377,8 GB,1.78 inch,AMOLED,Android 8.1,Wifi,700 mAh,4.9,14787,https://www.thegioididong.com/dong-ho-thong-minh/kidcare-sight-s1,09/2024,2025-09-02 15:16:42
328369,Vòng đeo tay thông minh Mi Band 9,820000,Xiaomi,Smartband,Hãng không công bố,Hãng không công bố,1.62 inch,AMOLED,Hãng không công bố,Bluetooth v5.4,233 mAh,4.9,23391,https://www.thegioididong.com/dong-ho-thong-minh/xiaomi-band-9,08/2024,2025-09-02 15:16:43
336875,Amazfit Active 2 Sapphire 43.9mm dây da,3110000,Amazfit,Smartwatch,RTL 8763EFL,512 MB,1.32 inch,AMOLED,Zepp OS,Bluetooth v5.2,270 mAh,4.9,172,https://www.thegioididong.com/dong-ho-thong-minh/amazfit-active-2-premium,03/2025,2025-09-02 15:16:43
332406,Vòng đeo tay thông minh Mi Band 9 Active,520000,Xiaomi,Smartband,Hãng không công bố,Hãng không công bố,1.47 inch,TFT,Hãng không công bố,Bluetooth v5.3,300 mAh,4.9,4056,https://www.thegioididong.com/dong-ho-thong-minh/mi-band-9-active,12/2024,2025-09-02 15:16:44
335516,Xiaomi Watch S4 47mm dây silicone Đen Cầu Vồng,3810000,Xiaomi,Smartwatch,Hãng không công bố,Hãng không công bố,1.43 inch,AMOLED,HyperOS 2.0,Bluetooth v5.3,486 mAh,5.0,773,https://www.thegioididong.com/dong-ho-thong-minh/xiaomi-watch-s4-47mm-den-cau-vong,03/2025,2025-09-02 15:16:45
334987,Garmin Instinct 3 50mm dây silicone,13440000,Garmin,Smartwatch,Hãng không công bố,4 GB,1.3 inch,AMOLED,Hãng không công bố,Bluetooth,Hãng không công bố,5.0,4,https://www.thegioididong.com/dong-ho-thong-minh/garmin-instinct-3-50mm,02/2025,2025-09-02 15:16:46
300687,Đồng hồ định vị trẻ em Masstel Smart Hero 20,1560000,Masstel,Smartwatch,Hãng không công bố,128 MB,1.7 inch,TFT,Hãng không công bố,Wifi,720 mAh,4.9,4739,https://www.thegioididong.com/dong-ho-thong-minh/masstel-smart-hero-20,01/2023,2025-09-02 15:16:48
337061,Đồng hồ định vị trẻ em Masstel Smart Hero 30,1950000,Masstel,Smartwatch,W117,128 MB,1.8 inch,IPS,RTOS,,700 mAh,4.9,2174,https://www.thegioididong.com/dong-ho-thong-minh/masstel-smart-hero-30,2025,2025-09-02 15:16:49
339531,Vòng đeo tay thông minh Mi Band 10 viền gốm,1560000,Xiaomi,Smartband,Hãng không công bố,Hãng không công bố,1.72 inch,AMOLED,HyperOS,Bluetooth v5.4,233 mAh,5.0,731,https://www.thegioididong.com/dong-ho-thong-minh/mi-band-10-vien-gom,07/2025,2025-09-02 15:16:49
288629,Đồng hồ định vị trẻ em Masstel Smart Hero 10,1410000,Masstel,Smartwatch,W307,128 MB,1.4 inch,TFT,RTOS,Wifi,680 mAh,4.9,9550,https://www.thegioididong.com/dong-ho-thong-minh/masstel-smart-hero-10,09/2022,2025-09-02 15:16:49
329704,Apple Watch Series 10 42mm viền nhôm dây vải,10390000,Apple,Smartwatch,Apple S10 SiP,64 GB,Hãng không công bố,OLED,watchOS phiên bản mới nhất,Bluetooth v5.3,Hãng không công bố,5.0,1068,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-series-10-42mm-day-vai,09/2024,2025-09-02 15:16:50
322265,Amazfit Balance 46mm dây silicone,4600000,Amazfit,Smartwatch,Hãng không công bố,Hãng không công bố,1.5 inch,AMOLED,Zepp OS 3.0,WLAN 2.4 GHz,475 mAh,4.9,171,https://www.thegioididong.com/dong-ho-thong-minh/amazfit-balance,02/2024,2025-09-02 15:16:50
322848,Garmin Forerunner 165 43mm dây silicone,4610000,Garmin,Smartwatch,Hãng không công bố,4 GB,1.2 inch,AMOLED,Hãng không công bố,ANT+,330 mAh,4.9,1821,https://www.thegioididong.com/dong-ho-thong-minh/garmin-forerunner-165,03/2024,2025-09-02 15:16:51
321816,Vòng đeo tay thông minh Mi Band 8 Pro,960000,Xiaomi,Smartwatch,BES2700IBP,Hãng không công bố,1.74 inch,AMOLED,Hãng không công bố,Bluetooth v5.3,289 mAh,4.9,9000,https://www.thegioididong.com/dong-ho-thong-minh/mi-band-8-pro,03/2024,2025-09-02 15:16:53
339492,Huawei Watch 5 46mm viền Titanium dây composite,9810000,Huawei,Smartwatch,Hãng không công bố,Hãng không công bố,1.5 inch,AMOLED LTPO 2.0,Harmony OS,Wi-Fi 6,Hãng không công bố,5.0,147,https://www.thegioididong.com/dong-ho-thong-minh/huawei-watch-5-46mm-day-composite,06/2025,2025-09-02 15:16:53
321816,Vòng đeo tay thông minh Mi Band 8 Pro,960000,Xiaomi,Smartwatch,BES2700IBP,Hãng không công bố,1.74 inch,AMOLED,Hãng không công bố,Bluetooth v5.3,289 mAh,4.9,9000,https://www.thegioididong.com/dong-ho-thong-minh/mi-band-8-pro,03/2024,2025-09-02 15:16:55
310858,Samsung Galaxy Watch6 Classic 47mm dây silicone,5820000,Samsung,Smartwatch,Exynos W930,16 GB,1.5 inch,Super AMOLED,Wear OS được tùy biến bởi Samsung,Bluetooth v5.3,425 mAh,4.9,1166,https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-watch6-classic-47mm,07/2023,2025-09-02 15:16:56
329473,Garmin Fenix 8 Sapphire 43mm viền Titanium dây silicone,26490000,Garmin,Smartwatch,Hãng không công bố,32 GB,1.3 inch,AMOLED,Hãng không công bố,Bluetooth v5.2,Hãng không công bố,5.0,26,https://www.thegioididong.com/dong-ho-thong-minh/garmin-fenix-8-sapphire-43mm,09/2024,2025-09-02 15:16:57
334436,Huawei Watch Fit 4 43mm dây silicone,2740000,Huawei,Smartwatch,Hãng không công bố,Hãng không công bố,1.82 inch,AMOLED,Harmony OS,Bluetooth v5.2,Hãng không công bố,4.9,7119,https://www.thegioididong.com/dong-ho-thong-minh/huawei-watch-fit-4,05/2025,2025-09-02 15:16:57
338699,Garmin Forerunner 570 42.4mm dây silicone,14420000,Garmin,Smartwatch,Hãng không công bố,8 GB,1.2 inch,AMOLED,Hãng không công bố,Bluetooth v5.3,Hãng không công bố,5.0,26,https://www.thegioididong.com/dong-ho-thong-minh/garmin-forerunner-570,05/2025,2025-09-02 15:16:59
329076,Đồng hồ định vị trẻ em Kidcare K1,2040000,Kidcare,Smartwatch,SL8521ET,521 MB,1.69 inch,TFT,XunOS,WLAN 2.4 GHz,900 mAh,4.9,6519,https://www.thegioididong.com/dong-ho-thong-minh/dong-ho-dinh-vi-tre-em-kidcare-k1,06/2024,2025-09-02 15:16:59
332404,Vòng đeo tay thông minh Mi Band 9 Pro,1650000,Xiaomi,Smartband,Hãng không công bố,Hãng không công bố,1.74 inch,AMOLED,Hãng không công bố,Bluetooth v5.4,350 mAh,4.9,4074,https://www.thegioididong.com/dong-ho-thong-minh/mi-band-9-pro,12/2024,2025-09-02 15:17:00
327699,Samsung Galaxy Watch7 LTE 44mm dây silicone,5820000,Samsung,Smartwatch,Exynos W1000,32 GB,1.47 inch,Super AMOLED,Wear OS được tùy biến bởi Samsung,Bluetooth v5.3,425 mAh,5.0,725,https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-watch7-44mm-lte,07/2024,2025-09-02 15:17:00
330180,Huawei Watch GT 5 Pro 42mm viền gốm dây gốm,11970000,Huawei,Smartwatch,Hãng không công bố,Hãng không công bố,1.32 inch,AMOLED,Harmony OS,Bluetooth v5.2,Hãng không công bố,5.0,93,https://www.thegioididong.com/dong-ho-thong-minh/huawei-watch-gt-5-pro-42mm-vien-gom-day-gom,10/2024,2025-09-02 15:17:00
231681,Đồng hồ thông minh BeU B2 Hồng,0,BeFit,Smartwatch,NRF52832,256 KB,1.54 inch,IPS,Hãng không công bố,Bluetooth v5.0,200 mAh,3.1,21,https://www.thegioididong.com/dong-ho-thong-minh/beu-b2-hong,,2025-09-02 15:17:01
