sku,name,price,brand,category,rating,reviews_count,url,release_date,updated_at,cpu,cpu_speed,gpu,ram,storage,rearcam_specs,frontcam_specs,screen_type,screen_size,screen_panel,screen_res,screen_rate,screen_nits,os,water_resistant,battery,charger,weight,material,connectivity,network,ports
311033,Điện thoại Nokia 105 4G Pro,690000,Nokia,Phone,4.9,309959,https://www.thegioididong.com/dtdd/nokia-105-4g-pro,07/2023,2025-09-17 01:12:07,Unisoc T107 8 nhân,1.0 GHz,,48 MB,128 MB,,,Kính thường,"1.77""",IPS LCD,QQVGA (120 x 160 Pixels),,,Series 30+,,1450 mAh,2.75 W,93 g,Khung & Mặt lưng nhựa,"v5.0, A2DP",Hỗ trợ 4G,"3.5 mm, Micro USB"
240259,Điện thoại iPhone 14 128GB,12390000,iPhone (Apple),Smartphone,4.9,58724,https://www.thegioididong.com/dtdd/iphone-14,09/2022,2025-09-17 01:12:07,Apple A15 Bionic,3.22 GHz,Apple GPU 5 nhân,6 GB,128 GB,2 camera 12 MP,12 MP,Kính cường lực Ceramic Shield,"6.1""",OLED,Super Retina XDR (1170 x 2532 Pixels),60 Hz,1200 nits,iOS 17,IP68,3279 mAh,20 W,172 g,Khung nhôm & Mặt lưng kính cường lực,"Wi-Fi MIMO, Wi-Fi 802.11 a/b/g/n/ac/ax, Dual-band (2.4 GHz/5 GHz), NFC, v5.3",Hỗ trợ 5G,Lightning
320337,Điện thoại Xiaomi 15 5G 12GB/256GB,21290000,Xiaomi,Smartphone,5.0,504,https://www.thegioididong.com/dtdd/xiaomi-15-256gb,03/2025,2025-09-17 01:12:07,Qualcomm Snapdragon 8 Elite 8 nhân,2 nhân 4.32 GHz & 6 nhân 3.53 GHz,Adreno 830,12 GB,256 GB,3 camera 50 MP,32 MP,Kính cường lực Xiaomi Shield,"6.36""",AMOLED,1.5K (1200 x 2670 Pixels),120 Hz,3200 nits,Xiaomi HyperOS 2,IP68,5240 mAh,90 W,191 g,Khung nhôm & Mặt lưng sợi thuỷ tinh,"OTG, NFC, Wi-Fi MIMO, Wi-Fi hotspot, Wi-Fi Direct, Wi-Fi 7, Wi-Fi 6E, Wi-Fi 6, Dual-band (2.4 GHz/5 GHz), v6.0",Hỗ trợ 5G,Type-C
240259,Điện thoại iPhone 14 128GB,12390000,iPhone (Apple),Smartphone,4.9,58724,https://www.thegioididong.com/dtdd/iphone-14,09/2022,2025-09-17 01:12:07,Apple A15 Bionic,3.22 GHz,Apple GPU 5 nhân,6 GB,128 GB,2 camera 12 MP,12 MP,Kính cường lực Ceramic Shield,"6.1""",OLED,Super Retina XDR (1170 x 2532 Pixels),60 Hz,1200 nits,iOS 17,IP68,3279 mAh,20 W,172 g,Khung nhôm & Mặt lưng kính cường lực,"Wi-Fi MIMO, Wi-Fi 802.11 a/b/g/n/ac/ax, Dual-band (2.4 GHz/5 GHz), NFC, v5.3",Hỗ trợ 5G,Lightning
321434,Điện thoại realme Note 50 3GB/64GB,0,realme,Smartphone,4.9,69268,https://www.thegioididong.com/dtdd/realme-note-50-64gb,01/2024,2025-09-17 01:12:07,Unisoc Tiger T612,1.82 GHz,Mali-G57,3 GB,64 GB,Chính 13 MP & Phụ 0.08 MP,5 MP,Kính cường lực Panda,"6.74""",IPS LCD,HD+ (720 x 1600 Pixels),90 Hz,560 nits,Android 13,IP54,5000 mAh,10 W,186 g,Khung & Mặt lưng nhựa,"OTG, v5.0, Wi-Fi hotspot, Dual-band (2.4 GHz/5 GHz)",Hỗ trợ 4G,"Type-C, 3.5 mm"
336408,Điện thoại vivo V50 Lite 5G 8GB/256GB,9810000,vivo,Smartphone,4.9,11197,https://www.thegioididong.com/dtdd/vivo-v50-lite-5g,05/2025,2025-09-17 01:12:08,MediaTek Dimensity 6300 5G 8 nhân,2 nhân 2.4 GHz & 6 nhân 2 GHz,Mali-G57,8 GB,256 GB,Chính 50 MP & Phụ 8 MP,32 MP,Kính cường lực Shield,"6.77""",AMOLED,Full HD+ (1080 x 2392 Pixels),120 Hz,1800 nits,Android 15,IP65,6500 mAh,90 W,197 g,Khung & Mặt lưng nhựa,"OTG, NFC, v5.4, Wi-Fi hotspot, Wi-Fi Direct, Wi-Fi 5, Dual-band (2.4 GHz/5 GHz)",Hỗ trợ 5G,Type-C
341799,Điện thoại Samsung Galaxy A17 8GB/128GB,5190000,Samsung,Smartphone,,,https://www.thegioididong.com/dtdd/samsung-galaxy-a17-8gb-128gb,09/2025,2025-09-17 01:12:09,,,,,,,,,,,,,,,,,,,,,,
330619,Điện thoại realme 13+ 5G 12GB/256GB,0,realme,Smartphone,4.9,3205,https://www.thegioididong.com/dtdd/realme-13-plus-5g,11/2024,2025-09-17 01:12:09,MediaTek Dimensity 7300 Energy 5G 8 nhân,2.5 GHz,Mali-G615,12 GB,256 GB,"Chính 50 MP & Phụ 2 MP, Flicker",16 MP,Kính cường lực AGC DT-Star2,"6.67""",OLED,Full HD+ (1080 x 2400 Pixels),120 Hz,2000 nits,Android 14,IP65,5000 mAh,80 W,185 g,Khung & Mặt lưng nhựa,"OTG, NFC, Wi-Fi hotspot, Wi-Fi 802.11 a/b/g/n, Wi-Fi 6, Wi-Fi 5, Dual-band (2.4 GHz/5 GHz), v5.4",Hỗ trợ 5G,"Type-C, 3.5 mm"
319665,Điện thoại Samsung Galaxy S24 5G 8GB/256GB,16610000,Samsung,Smartphone,4.9,16490,https://www.thegioididong.com/dtdd/samsung-galaxy-s24-256gb-5g,01/2024,2025-09-17 01:12:09,Exynos 2400 10 nhân,3.2 GHz,Xclipse 940,8 GB,256 GB,"Chính 50 MP & Phụ 12 MP, 10 MP",12 MP,Kính cường lực Corning Gorilla Glass Victus 2,"6.2""",Dynamic AMOLED 2X,Full HD+ (1080 x 2340 Pixels),120 Hz,2600 nits,Android 14,IP68,4000 mAh,25 W,167 g,Khung nhôm & Mặt lưng kính cường lực,"NFC, v5.3, Wi-Fi MIMO, Wi-Fi hotspot, Wi-Fi Direct, Wi-Fi 802.11 a/b/g/n/ac/ax, Dual-band (2.4 GHz/5 GHz)",Hỗ trợ 5G,Type-C
329141,Điện thoại iPhone 16 Plus 512GB,31290000,iPhone (Apple),Smartphone,5.0,394,https://www.thegioididong.com/dtdd/iphone-16-plus-512gb,09/2024,2025-09-17 01:12:09,Apple A18 6 nhân,Hãng không công bố,Apple GPU 5 nhân,8 GB,512 GB,Chính 48 MP & Phụ 12 MP,12 MP,Kính cường lực Ceramic Shield,"6.7""",OLED,Super Retina XDR (1290 x 2796 Pixels),60 Hz,2000 nits,iOS 18,IP68,27 giờ,20 W,199 g,Khung nhôm & Mặt lưng kính cường lực,"NFC, v5.3, Wi-Fi MIMO, Wi-Fi 7",Hỗ trợ 5G,Type-C
