id,name,price,brand,category,chipset,storage,screen_size,screen_tech,operating_system,connectivity,battery,rating,reviews_count,url,created_at,updated_at
321818,Xiaomi Watch 2 47.8mm dây silicone,2800000,Xiaomi,Smartwatch,Snapdragon W5+ Gen 1,32 GB,1.43 inch,AMOLED,Google Wear OS,Bluetooth v5.2,495 mAh,4.9,1245,https://www.thegioididong.com/dong-ho-thong-minh/xiaomi-watch-2,04/2024,2025-09-01 20:34:04
336899,Vòng đeo tay thông minh Mi Band 10 viền nhôm,970000,Xiaomi,Smartband,Hãng không công bố,Hãng không công bố,1.72 inch,AMOLED,HyperOS,Bluetooth v5.4,233 mAh,4.9,6025,https://www.thegioididong.com/dong-ho-thong-minh/mi-band-10,07/2025,2025-09-01 20:34:04
309597,Đồng hồ định vị trẻ em Masstel Smart Hero 5,0,Masstel,Smartwatch,1.0 GHz đơn nhân,128 MB,1.4 inch,TFT-LCD,RTOS,LBS,720 mAh,4.9,6335,https://www.thegioididong.com/dong-ho-thong-minh/masstel-smart-hero-5,07/2023,2025-09-01 20:34:06
340065,Samsung Galaxy Watch8 Classic LTE 46mm dây da,12990000,Samsung,Smartwatch,Exynos W1000,64 GB,1.34 inch,Super AMOLED,Wear OS được tùy biến bởi Samsung,Bluetooth v5.3,445 mAh,5.0,176,https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-watch8-classic-lte-46mm,07/2025,2025-09-01 20:34:07
321817,Xiaomi Watch S3 47mm dây silicone,2620000,Xiaomi,Smartwatch,BES2700IBP,4 GB,1.43 inch,AMOLED,HyperOS,Bluetooth v5.2,486 mAh,4.9,8972,https://www.thegioididong.com/dong-ho-thong-minh/xiaomi-watch-s-3,03/2024,2025-09-01 20:34:07
328369,Vòng đeo tay thông minh Mi Band 9,820000,Xiaomi,Smartband,Hãng không công bố,Hãng không công bố,1.62 inch,AMOLED,Hãng không công bố,Bluetooth v5.4,233 mAh,4.9,23338,https://www.thegioididong.com/dong-ho-thong-minh/xiaomi-band-9,08/2024,2025-09-01 20:34:09
337773,Bộ kit đo size nhẫn,120000,Samsung,,,,,,,,,5.0,59,https://www.thegioididong.com/dong-ho-thong-minh/bo-kit-do-size-nhan,,2025-09-01 20:34:09
320842,Xiaomi Redmi Watch 4 47.5mm dây silicone,1540000,Xiaomi,Smartwatch,BES2700IBP,Hãng không công bố,1.97 inch,AMOLED,HyperOS,Bluetooth v5.3,460 mAh,4.9,18480,https://www.thegioididong.com/dong-ho-thong-minh/redmi-watch-4,01/2024,2025-09-01 20:34:11
329834,Xiaomi Redmi Watch 5 Active 49.1mm dây TPU,680000,Xiaomi,Smartwatch,Sifli SF32LB523,Hãng không công bố,2 inch,LCD,Hãng không công bố,Bluetooth v5.3,470 mAh,4.9,14611,https://www.thegioididong.com/dong-ho-thong-minh/redmi-watch-5-active,09/2024,2025-09-01 20:34:11
320842,Xiaomi Redmi Watch 4 47.5mm dây silicone,1540000,Xiaomi,Smartwatch,BES2700IBP,Hãng không công bố,1.97 inch,AMOLED,HyperOS,Bluetooth v5.3,460 mAh,4.9,18480,https://www.thegioididong.com/dong-ho-thong-minh/redmi-watch-4,01/2024,2025-09-01 20:34:11
336875,Amazfit Active 2 Sapphire 43.9mm dây da,3110000,Amazfit,Smartwatch,RTL 8763EFL,512 MB,1.32 inch,AMOLED,Zepp OS,Bluetooth v5.2,270 mAh,4.9,163,https://www.thegioididong.com/dong-ho-thong-minh/amazfit-active-2-premium,03/2025,2025-09-01 20:34:13
328369,Vòng đeo tay thông minh Mi Band 9,820000,Xiaomi,Smartband,Hãng không công bố,Hãng không công bố,1.62 inch,AMOLED,Hãng không công bố,Bluetooth v5.4,233 mAh,4.9,23338,https://www.thegioididong.com/dong-ho-thong-minh/xiaomi-band-9,08/2024,2025-09-01 20:34:13
328369,Vòng đeo tay thông minh Mi Band 9,820000,Xiaomi,Smartband,Hãng không công bố,Hãng không công bố,1.62 inch,AMOLED,Hãng không công bố,Bluetooth v5.4,233 mAh,4.9,23338,https://www.thegioididong.com/dong-ho-thong-minh/xiaomi-band-9,08/2024,2025-09-01 20:34:15
324733,Vòng đeo tay thông minh Huawei Band 9,540000,Huawei,Smartband,Hãng không công bố,Hãng không công bố,1.47 inch,AMOLED,Harmony OS,Bluetooth v5.0,189 mAh,4.9,6748,https://www.thegioididong.com/dong-ho-thong-minh/huawei-band-9,04/2024,2025-09-01 20:34:15
332069,Xiaomi Redmi Watch 5 47.5 mm dây TPU,2440000,Xiaomi,Smartwatch,Hãng không công bố,512 MB,2.07 inch,AMOLED,Hãng không công bố,Bluetooth v5.3,550 mAh,4.9,21504,https://www.thegioididong.com/dong-ho-thong-minh/xiaomi-redmi-watch-5,12/2024,2025-09-01 20:34:15
338266,Samsung Galaxy Watch8 Classic 46mm dây da,11990000,Samsung,Smartwatch,Exynos W1000,64 GB,1.34 inch,Super AMOLED,Wear OS được tùy biến bởi Samsung,Bluetooth v5.3,445 mAh,5.0,171,https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-watch8-classic,07/2025,2025-09-01 20:34:17
330173,Huawei Watch GT 5 Pro 46mm viền Titanium dây cao su,6570000,Huawei,Smartwatch,Hãng không công bố,Hãng không công bố,1.43 inch,AMOLED,Harmony OS,Bluetooth v5.2,Hãng không công bố,4.9,3252,https://www.thegioididong.com/dong-ho-thong-minh/huawei-watch-gt-5-pro-46mm-vien-titanium-day-cao-su,05/2025,2025-09-01 20:34:17
300687,Đồng hồ định vị trẻ em Masstel Smart Hero 20,1560000,Masstel,Smartband,Hãng không công bố,128 MB,1.7 inch,TFT,Hãng không công bố,Wifi,720 mAh,4.9,4734,https://www.thegioididong.com/dong-ho-thong-minh/masstel-smart-hero-20,01/2023,2025-09-01 20:34:17
