id,name,price,brand,category,screen_size,screen_tech,screen_resolution,screen_frequency,power_consumption,ports,rating,reviews_count,url,created_at,updated_at
333563,Màn hình Viewsonic VA2432A-H 23.8 inch FHD/IPS/120Hz/1ms,2090000,Viewsonic,Screen,23.8 inch,IPS,Full HD (1920 x 1080),120 Hz,22W,1 x Jack tai nghe 3.5 mm,4.9,285,https://www.thegioididong.com/man-hinh-may-tinh/viewsonic-va2432a-h-23-8-inch-fhd-ips-120hz-1ms,2024,2025-09-01 23:33:33
333565,Màn hình Viewsonic VA2732A-H 27 inch FHD/IPS/120Hz/1ms,2590000,Viewsonic,Screen,27 inch,IPS,Full HD (1920 x 1080),120 Hz,26W,1 x Jack tai nghe 3.5 mm,5.0,363,https://www.thegioididong.com/man-hinh-may-tinh/viewsonic-va2732a-h-27-inch-fhd-ips-120hz-1ms,2024,2025-09-01 23:33:34
335631,Màn hình Gaming GIGABYTE GS27QA 27 inch 2K/IPS/180Hz/1ms,4990000,GIGABYTE,Screen,27 inch,IPS,QHD (2560 x 1440),180 Hz,32W,2 x HDMI 2.0,5.0,27,https://www.thegioididong.com/man-hinh-may-tinh/gigabyte-gs27qa-27-inch-2k-180hz-1ms,2024,2025-09-01 23:33:34
337403,Màn hình Lenovo L24-4e 23.8 inch FHD/IPS/100Hz/4ms,1990000,Lenovo,Screen,23.8 inch,IPS,Full HD (1920 x 1080),100 Hz,19W,1 x HDMI 1.4,5.0,87,https://www.thegioididong.com/man-hinh-may-tinh/lenovo-l24-4e-23-8-inch-fhd-ips-100hz-4ms,2025,2025-09-01 23:33:35
338780,Màn hình Gaming Acer KB242Y P6 23.8 inch FHD/IPS/144Hz/1ms,1990000,Acer,Screen,23.8 inch,IPS,Full HD (1920 x 1080),144 Hz,12.9W,1 x HDMI 1.4,5.0,591,https://www.thegioididong.com/man-hinh-may-tinh/acer-kb242y-p6-23-8fhd-ips-144hz-1ms,2025,2025-09-01 23:33:35
338144,Màn hình Xiaomi A27Ui 27 inch 4K/IPS/60Hz/6ms,6890000,Xiaomi,Screen,27 inch,IPS,UHD (3840 x 2160),60 Hz,120W,1 x Type-C (90W output),5.0,33,https://www.thegioididong.com/man-hinh-may-tinh/xiaomi-a27ui-27-inch-4k-ips-60hz-6ms,2025,2025-09-01 23:33:36
331920,Màn hình Asus VY249HGR 23.8 inch FHD/IPS/120Hz/1ms,2390000,Asus,Screen,23.8 inch,IPS,Full HD (1920 x 1080),120 Hz,15W,1 x Jack tai nghe 3.5 mm,5.0,651,https://www.thegioididong.com/man-hinh-may-tinh/asus-vy249hgr-23-8-inch-fhd-ips-120hz-1ms,2024,2025-09-01 23:33:40
336402,Màn hình Gaming Asus TUF VG249QE5A 23.8 inch FHD/IPS/146Hz/1ms,2690000,Asus,Screen,23.8 inch,IPS,Full HD (1920 x 1080),146 Hz,15W,1 x 3.5 mm mini-jack,5.0,342,https://www.thegioididong.com/man-hinh-may-tinh/asus-vg249qe5a-23-8-inch-fhd-ips-146hz-1ms,2025,2025-09-01 23:33:40
330832,Màn hình Gaming Xiaomi G Pro 27i 27 inch 2K/IPS/180Hz/1ms,8390000,Xiaomi,Screen,27 inch,Fast IPS,QHD (2560 x 1440),180 Hz,65 W,2 x DisplayPort,5.0,8,https://www.thegioididong.com/man-hinh-may-tinh/xiaomi-g-pro-27i-27-inch-2k-ips-180hz-1ms,2024,2025-09-01 23:33:45
325113,Màn hình Gaming Asus ROG Strix XG27ACS 27 inch 2K/IPS/180Hz/1ms,6890000,Asus,Screen,27 inch,Fast IPS,QHD (2560 x 1440),180 Hz,23.1 W,1 x Jack tai nghe 3.5 mm,4.9,167,https://www.thegioididong.com/man-hinh-may-tinh/asus-xg27acs-27-inch-2k,2024,2025-09-01 23:33:45
322533,Màn hình Gaming Samsung Odyssey G5 G55C LS27CG552EEXXV 27 inch 2K/VA/165Hz/1ms/HDMI/DisplayPort,4890000,Samsung,Screen,27 inch,VA,QHD (2560 x 1440),165 Hz,40 W,1 x Jack tai nghe 3.5 mm,5.0,274,https://www.thegioididong.com/man-hinh-may-tinh/samsung-odyssey-g5-g55c-ls27cg552eexxv-27-inch-2k,2024,2025-09-01 23:33:46
337235,Màn hình Gaming Asus TUF VG279QE5A 27 inch FHD/IPS/146Hz/1ms,3290000,Asus,Screen,27 inch,IPS,Full HD (1920 x 1080),146 Hz,16.7W,1 x 3.5 mm mini-jack,5.0,124,https://www.thegioididong.com/man-hinh-may-tinh/asus-tuf-vg279qe5a-27fhd-ips-146hz-1ms,2025,2025-09-01 23:33:51
