sku,name,price,brand,category,rating,reviews_count,url,release_date,updated_at,cpu,cpu_speed,gpu,ram,storage,rearcam_specs,frontcam_specs,screen_size,screen_panel,screen_res,screen_rate,os,water_resistant,battery,charger,weight,material,connectivity,network,ports
328523,Máy tính bảng Xiaomi Redmi Pad SE 8.7 4G 4GB/128GB,4500000,Xiaomi,Tablet,5.0,2644,https://www.thegioididong.com/may-tinh-bang/redmi-pad-se-8-7-4g-4gb-128gb,08/2024,2025-09-27 01:34:48,MediaTek Helio G85 8 nhân,2 nhân 2.0 GHz & 6 nhân 1.8 GHz,Mali-G52 MC2,4 GB,128 GB,8 MP,5 MP,"8.7""",IPS LCD,800 x 1340 Pixels,90 Hz,Android 14,,6650 mAh,18 W,375 g,Nhựa nguyên khối,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, v5.3",Hỗ trợ 4G,3.5 mm
331229,Máy tính bảng iPad mini 7 WiFi 128GB,13590000,iPad (Apple),Tablet,4.9,3956,https://www.thegioididong.com/may-tinh-bang/ipad-mini-7-wifi,10/2024,2025-09-27 01:34:48,Apple A17 Pro 6 nhân,3.78 GHz,Apple GPU 5 nhân,8 GB,128 GB,12 MP,12 MP,"8.3""",LED-backlit IPS LCD,1488 x 2266 Pixels,,iPadOS 18,,19.3 Wh,20 W,293 g,Nhôm nguyên khối,"v5.3, Wi-Fi 6E, MIMO, iBeacon, Dual-band",,
335313,Máy tính bảng iPad A16 5G 512GB,21390000,iPad (Apple),Tablet,5.0,24,https://www.thegioididong.com/may-tinh-bang/ipad-11-5g-512gb,03/2025,2025-09-27 01:34:49,Apple A16 5 nhân,Hãng không công bố,Apple GPU 4 nhân,6 GB,512 GB,12 MP,12 MP,"11""",Retina IPS LCD,1640 x 2360 Pixels,60 Hz,iPadOS 18,,28.93 Wh,20 W,481 g,Nhôm nguyên khối,"v5.3, Wi-Fi 6, MIMO, Dual-band",5G,Type-C
334992,Máy tính bảng Lenovo Tab WiFi 4GB/64GB,3300000,Lenovo,Tablet,5.0,208,https://www.thegioididong.com/may-tinh-bang/lenovo-tab-wifi,11/2024,2025-09-27 01:34:50,MediaTek Helio G85 8 nhân,2 nhân 2.0 GHz & 6 nhân 1.8 GHz,Mali-G52 MC2,4 GB,64 GB,8 MP,5 MP,"10.1""",IPS LCD,1200 x 1920 Pixels,60 Hz,Android 14,IP52,5100 mAh,15 W,425 g,Kim loại nguyên khối,"v5.3, Wi-Fi 5",,3.5 mm
331232,Máy tính bảng iPad mini 7 5G 128GB,17490000,iPad (Apple),Tablet,4.9,484,https://www.thegioididong.com/may-tinh-bang/ipad-mini-7-5g,10/2024,2025-09-27 01:34:50,Apple A17 Pro 6 nhân,3.78 GHz,Apple GPU 5 nhân,8 GB,128 GB,12 MP,12 MP,"8.3""",LED-backlit IPS LCD,1488 x 2266 Pixels,,iPadOS 18,,19.3 Wh,20 W,297 g,Nhôm nguyên khối,"v5.3, Wi-Fi 6E, MIMO, iBeacon, Dual-band",5G,
322613,Máy tính bảng OPPO Pad Neo WiFi 6GB/128GB,6570000,OPPO,Tablet,4.9,3168,https://www.thegioididong.com/may-tinh-bang/oppo-pad-neo-6gb,01/2024,2025-09-27 01:34:51,MediaTek Helio G99,2.2 GHz,Mali-G57 MC2,6 GB,128 GB,8 MP,8 MP,"11.4""",IPS LCD,1720 x 2408 Pixels,90 Hz,Android 13,,8000 mAh,33 W,538 g,"Khung kim loại & Mặt lưng kính, nhôm","OTG, v5.2, LE, A2DP, Wi-Fi Direct, Wi-Fi 802.11 a/b/g/n/ac, Dual-band",,Type-C
335279,Máy tính bảng iPad Air M3 13 inch 5G 128GB,24590000,iPad (Apple),Tablet,5.0,62,https://www.thegioididong.com/may-tinh-bang/ipad-air-m3-13-inch-5g-128gb,03/2025,2025-09-27 01:34:52,Apple M3 8 nhân,Hãng không công bố,Apple GPU 9 nhân,8 GB,128 GB,12 MP,12 MP,"13""",Retina IPS LCD,2048 x 2732 Pixels,,iPadOS 18,,36.59 Wh,20 W,617 g,Nhôm nguyên khối,"Wi-Fi 6E, MIMO, Dual-band, v5.3",5G,Type-C
331229,Máy tính bảng iPad mini 7 WiFi 128GB,13590000,iPad (Apple),Tablet,4.9,3956,https://www.thegioididong.com/may-tinh-bang/ipad-mini-7-wifi,10/2024,2025-09-27 01:34:52,Apple A17 Pro 6 nhân,3.78 GHz,Apple GPU 5 nhân,8 GB,128 GB,12 MP,12 MP,"8.3""",LED-backlit IPS LCD,1488 x 2266 Pixels,,iPadOS 18,,19.3 Wh,20 W,293 g,Nhôm nguyên khối,"v5.3, Wi-Fi 6E, MIMO, iBeacon, Dual-band",,
339382,Máy tính bảng Samsung Galaxy Tab S10 FE+ WiFi 12GB/256GB,16590000,Samsung,Tablet,5.0,85,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-s10-fe-plus-12gb-256gb,04/2025,2025-09-27 01:34:52,Exynos 1580 8 nhân,2.9 GHz,Xclipse 540,12 GB,256 GB,13 MP,12 MP,"13.1""",TFT LCD,1800 x 2880 Pixels,90 Hz,Android 15,IP68,10090 mAh,45 W,664 g,Nhôm nguyên khối,"v5.3, Wi-Fi Direct, Wi-Fi 6, MIMO, Dual-band",,Type-C
335280,Máy tính bảng iPad Air M3 13 inch 5G 256GB,28290000,iPad (Apple),Tablet,5.0,57,https://www.thegioididong.com/may-tinh-bang/ipad-air-m3-13-inch-5g-256gb,03/2025,2025-09-27 01:34:52,Apple M3 8 nhân,Hãng không công bố,Apple GPU 9 nhân,8 GB,256 GB,12 MP,12 MP,"13""",Retina IPS LCD,2048 x 2732 Pixels,,iPadOS 18,,36.59 Wh,20 W,617 g,Nhôm nguyên khối,"Wi-Fi 6E, MIMO, Dual-band, v5.3",5G,Type-C
