id,name,onsale_price,brand,category,os,cpu,gpu,rating,reviews_count,is_new,url,retailer,created_at,updated_at
334690,"Laptop GIGABYTE Gaming G5 MF5 RC555 - 9RC55MF5FJIINIVN000 (i7 13620H, 16GB, 512GB, RTX 4050 6GB, Full HD 144Hz, Win11)",22790000,GIGABYTE,Laptop,Windows 11 Home SL,Intel Core i7 Raptor Lake - 13620H,"Card rời - NVIDIA GeForce RTX 4050, 6 GB",5.0,126,True,https://www.thegioididong.com/laptop/gigabyte-g5-mf5-rc555-i7-9rc55mf5fjiinivn000,TGDD,2023,2025-08-27 21:51:54
289472,Laptop MacBook Air 13 inch M2 16GB/256GB,19590000,MacBook,Laptop,macOS,Apple M2,Card tích hợp - 8 nhân GPU,4.9,7624,True,https://www.thegioididong.com/laptop/apple-macbook-air-m2-2022-16gb-256gb,TGDD,6/2022,2025-08-27 21:51:54
336703,Điện thoại vivo V50 Lite 5G 12GB/256GB,10800000,vivo,Smartphone,Android 15,,,5.0,1729,True,https://www.thegioididong.com/dtdd/vivo-v50-lite-5g-12gb-256gb,TGDD,05/2025,2025-08-27 21:51:54
341626,"Laptop Acer Gaming Nitro V 15 ProPanel ANV15 52 59AA - NH.QZ9SV.002 (i5 13420H, 16GB, 512GB, RTX 5050 8GB, Full HD 180Hz, Win11)",29690000,Acer,Laptop,Windows 11 Home SL,Intel Core i5 Raptor Lake - 13420H,"Card rời - NVIDIA GeForce RTX 5050, 8 GB",5.0,5,True,https://www.thegioididong.com/laptop/acer-nitro-v-15-propanel-anv15-52-59aa-i5-13420h-nh-qz9sv-002,TGDD,2025,2025-08-27 21:51:54
333351,Điện thoại Samsung Galaxy S25 Ultra 5G 12GB/512GB,29180000,Samsung,Smartphone,Android 15,,,5.0,3681,True,https://www.thegioididong.com/dtdd/samsung-galaxy-s25-ultra-512gb,TGDD,01/2025,2025-08-27 21:51:54
307174,Điện thoại Samsung Galaxy S24 Ultra 5G 12GB/256GB,23300000,Samsung,Smartphone,Android 14,,,4.9,36474,True,https://www.thegioididong.com/dtdd/samsung-galaxy-s24-ultra-5g,TGDD,01/2024,2025-08-27 21:51:54
307174,Điện thoại Samsung Galaxy S24 Ultra 5G 12GB/256GB,23300000,Samsung,Smartphone,Android 14,,,4.9,36474,True,https://www.thegioididong.com/dtdd/samsung-galaxy-s24-ultra-5g,TGDD,01/2024,2025-08-27 21:51:54
339265,"Laptop HP EliteBook 635 Aero G11 - B91D3PT (R7 8840HS, 32GB, 512GB, WUXGA, Win11)",27190000,HP,Laptop,Windows 11 Home SL,AMD Ryzen 7 - 8840HS,Card tích hợp - AMD Radeon Graphics,5.0,53,True,https://www.thegioididong.com/laptop/hp-elitebook-635-aero-g11-r7-b91d3pt,TGDD,2025,2025-08-27 21:51:54
340220,Điện thoại HONOR X6c 6GB/128GB,4190000,HONOR,Smartphone,Android 15,,,5.0,1039,True,https://www.thegioididong.com/dtdd/honor-x6c-6gb-128gb,TGDD,07/2025,2025-08-27 21:51:54
335793,Điện thoại HONOR X8c 8GB/512GB,7190000,HONOR,Smartphone,Android 15,,,5.0,2263,True,https://www.thegioididong.com/dtdd/honor-x8c-512gb,TGDD,04/2025,2025-08-27 21:51:54
