id,name,onsale_price,brand,category,os,cpu/chipset,gpu,ram,storage,rating,reviews_count,is_new,url,retailer,created_at,updated_at
333280,Điện thoại realme Note 60x 3GB/64GB,2650000,realme,Smartphone,Android 14,Unisoc Tiger T612,,3 GB,64 GB,5.0,6725,True,https://www.thegioididong.com/dtdd/realme-note-60x,TGDD,01/2025,2025-08-28 22:40:39
289663,Điện thoại iPhone 14 256GB,15690000,iPhone (Apple),Smartphone,iOS 17,Apple A15 Bionic,,6 GB,256 GB,4.9,3595,True,https://www.thegioididong.com/dtdd/iphone-14-256gb,TGDD,09/2022,2025-08-28 22:40:39
337847,Điện thoại OPPO A5x 4GB/128GB,4220000,OPPO,Smartphone,Android 15,Snapdragon 6s Gen 1 8 nhân,,4 GB,128 GB,4.9,30274,True,https://www.thegioididong.com/dtdd/oppo-a5x-4gb-128gb,TGDD,06/2025,2025-08-28 22:40:39
340564,"Laptop Asus Vivobook 15 OLED A1505VA - MA515WS (i5 13420H, 16GB, 512GB, 2.8K OLED 120Hz, OfficeH24+365, Win11)",16990000,Asus,Laptop,Windows 11 Home SL + Office Home 2024 vĩnh viễn + Microsoft 365 Basic,Intel Core i5 Raptor Lake - 13420H,Intel UHD Graphics,16 GB DDR4 (8 GB onboard + 1 khe 8 GB) 3200 MHz,512 GB SSD NVMe PCIe Gen 4.0,5.0,163,True,https://www.thegioididong.com/laptop/asus-vivobook-a1505va-i5-ma515ws,TGDD,2025,2025-08-28 22:40:39
340255,Điện thoại OPPO A5i Pro 8GB/128GB,5490000,OPPO,Smartphone,Android 15,Snapdragon 6s Gen 1 8 nhân,,8 GB,128 GB,4.9,414,True,https://www.thegioididong.com/dtdd/oppo-a5i-pro-8gb-128gb,TGDD,07/2025,2025-08-28 22:40:39
338204,"Laptop HP Gaming VICTUS 15 fa2731TX - B85LNPA (i5 13420H, 16GB, 512GB, RTX 3050 6GB, Full HD 144Hz, Win11)",20690000,HP,Laptop,Windows 11 Home SL,Intel Core i5 Raptor Lake - 13420H,"Card rời - NVIDIA GeForce RTX 3050, 6 GB",16 GB DDR4 (1 khe 16 GB + 1 khe rời) 3200 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",4.9,148,True,https://www.thegioididong.com/laptop/hp-victus-15-fa2731tx-i5-b85lnpa,TGDD,2024,2025-08-28 22:40:39
328750,Điện thoại Samsung Galaxy A06 6GB/128GB,3530000,Samsung,Smartphone,Android 14,MediaTek Helio G85,,6 GB,128 GB,4.9,191705,True,https://www.thegioididong.com/dtdd/samsung-galaxy-a06-6gb-128gb,TGDD,08/2024,2025-08-28 22:40:39
322789,Điện thoại Samsung Galaxy S24 FE 5G 8GB/128GB,13490000,Samsung,Smartphone,Android 14,Exynos 2400e 8 nhân,,8 GB,128 GB,4.9,6020,True,https://www.thegioididong.com/dtdd/samsung-galaxy-s24-fe,TGDD,09/2024,2025-08-28 22:40:39
339212,"Laptop GIGABYTE Gaming G6 KF RC56 - 9RC56KF0HJIIXIVN000 (i7 13620H, 16GB, 512GB, RTX 4060 8GB, WUXGA 165Hz, Win11)",25290000,GIGABYTE,Laptop,Windows 11 Home SL,Intel Core i7 Raptor Lake - 13620H,"Card rời - NVIDIA GeForce RTX 4060, 8 GB",16 GB DDR5 (1 khe 8 GB + 1 khe 8 GB) 4800 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 4 TB)",5.0,15,True,https://www.thegioididong.com/laptop/gigabyte-g6-kf-rc56-i7-9rc56kf0hjiixivn000,TGDD,2024,2025-08-28 22:40:39
335917,Điện thoại Xiaomi Redmi A5 3GB/64GB,2740000,Xiaomi,Smartphone,Android 15,Unisoc T7250 8 nhân,,3 GB,64 GB,4.9,32346,True,https://www.thegioididong.com/dtdd/xiaomi-redmi-a5-3gb-64gb,TGDD,04/2025,2025-08-28 22:40:39
