sku,name,price,brand,category,rating,reviews_count,url,release_date,updated_at,cpu,storage,screen_type,screen_size,screen_panel,os,water_resistant,connectivity,battery,weight,material
329832,Xiaomi Redmi Watch 5 Lite 48.2mm dây TPU,1270000,Xiaomi,Smartwatch,4.9,16589,https://www.thegioididong.com/dong-ho-thong-minh/redmi-watch-5-lite,09/2024,2025-09-09 19:32:25,Sifli SF32LB523,4 GB,Kính cường lực Panda,1.96 inch,AMOLED,HyperOS,"Chống nước 5 ATM - ISO 228102010 (Tắm, bơi vùng nước nông)",Bluetooth v5.3,470 mAh,29.2 g,Nhựa
330158,Huawei Watch Ultimate 48.5mm viền gốm dây Titanium,17660000,Huawei,Smartwatch,5.0,40,https://www.thegioididong.com/dong-ho-thong-minh/huawei-watch-ultimate,10/2024,2025-09-09 19:32:26,Hãng không công bố,Hãng không công bố,Kính Sapphire,1.5 inch,LTPO AMOLED,Harmony OS,"Chống nước 10 ATM (Bơi, lặn vùng nước nông)","Bluetooth v5.2, NFC",Hãng không công bố,76 g,Khung kim loại lỏng Zirconium - viền gốm tinh thể nano
321616,Vòng tay thông minh Samsung Galaxy Fit3,870000,Samsung,Smartband,4.9,32480,https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-fit3,2024,2025-09-09 19:32:27,,256 MB,Kính thường,1.6 inch,AMOLED,FreeRTOS,"Kháng nước 5 ATM (Tắm, bơi vùng nước nông)",Bluetooth v5.3,208 mAh,36.8 g,Nhôm
332404,Vòng đeo tay thông minh Mi Band 9 Pro,1650000,Xiaomi,Smartband,4.9,4138,https://www.thegioididong.com/dong-ho-thong-minh/mi-band-9-pro,12/2024,2025-09-09 19:32:27,Hãng không công bố,Hãng không công bố,Kính cường lực 2.5D,1.74 inch,AMOLED,Hãng không công bố,"Chống nước 5 ATM - ISO 228102010 (Tắm, bơi vùng nước nông)",Bluetooth v5.4,350 mAh,24.5 g,Hợp kim nhôm
336899,Vòng đeo tay thông minh Mi Band 10 viền nhôm,1070000,Xiaomi,Smartband,4.9,7289,https://www.thegioididong.com/dong-ho-thong-minh/mi-band-10,07/2025,2025-09-09 19:32:28,Hãng không công bố,Hãng không công bố,Kính cường lực 2.5D,1.72 inch,AMOLED,HyperOS,"Kháng nước 5 ATM (Tắm, đi mưa thoải mái)",Bluetooth v5.4,233 mAh,15.95 g,Hợp kim nhôm
236904,Đồng hồ định vị trẻ em Kidcare S6 4G,1650000,Kidcare,Smartwatch,4.9,54876,https://www.thegioididong.com/dong-ho-thong-minh/kidcare-s6-day-silicone,5/2021,2025-09-09 19:32:28,SL8521ET,512 MB,Kính cường lực,1.3 inch,TFT,XunOS,"Kháng nước IPX8 (Rửa tay, đi mưa)","LBS, AGPS, Wifi Location, Định vị trong nhà (Indoor Positioning), Định vị bằng thuật toán AI",860 mAh,51.5 g,Nhựa
322267,Amazfit Active 42.3mm dây silicone,1640000,Amazfit,Smartwatch,4.9,2118,https://www.thegioididong.com/dong-ho-thong-minh/amazfit-active,02/2024,2025-09-09 19:32:28,Hãng không công bố,Hơn 250 MB,Kính cường lực,1.75 inch,AMOLED,Zepp OS 2.0,"Chống nước 5 ATM - ISO 228102010 (Tắm, bơi vùng nước nông)",Bluetooth v5.0,300 mAh,24 g,Hợp kim nhôm
338701,Garmin Forerunner 570 47mm dây silicone,14420000,Garmin,Smartwatch,5.0,42,https://www.thegioididong.com/dong-ho-thong-minh/garmin-forerunner-570-47mm,05/2025,2025-09-09 19:32:29,Hãng không công bố,8 GB,Kính cường lực Gorilla Glass 3,1.4 inch,AMOLED,Hãng không công bố,"Kháng nước 5 ATM (Tắm, bơi vùng nước nông)","Bluetooth v5.3, ANT+, Wifi",Hãng không công bố,50 g,Nhôm
340065,Samsung Galaxy Watch8 Classic LTE 46mm dây da,12990000,Samsung,Smartwatch,5.0,206,https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-watch8-classic-lte-46mm,07/2025,2025-09-09 19:32:29,Exynos W1000,64 GB,Kính Sapphire,1.34 inch,Super AMOLED,Wear OS được tùy biến bởi Samsung,"Chống nước 5 ATM - ISO 228102010 (Tắm, bơi vùng nước nông)","Bluetooth v5.3, NFC, Wifi",445 mAh,63.5 g,Thép không gỉ
340065,Samsung Galaxy Watch8 Classic LTE 46mm dây da,12990000,Samsung,Smartwatch,5.0,206,https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-watch8-classic-lte-46mm,07/2025,2025-09-09 19:32:30,Exynos W1000,64 GB,Kính Sapphire,1.34 inch,Super AMOLED,Wear OS được tùy biến bởi Samsung,"Chống nước 5 ATM - ISO 228102010 (Tắm, bơi vùng nước nông)","Bluetooth v5.3, NFC, Wifi",445 mAh,63.5 g,Thép không gỉ
331078,Huawei Watch D2 48mm dây cao su,7840000,Huawei,Smartwatch,4.9,1239,https://www.thegioididong.com/dong-ho-thong-minh/huawei-watch-d2-day-cao-su,10/2024,2025-09-09 19:32:30,Hãng không công bố,Hãng không công bố,Kính cường lực,1.82 inch,AMOLED,Harmony OS,"Kháng nước IP68 (Tắm, đi mưa)","Bluetooth v5.2, NFC",Hãng không công bố,40 g,Hợp kim nhôm
322266,Amazfit Active Edge 46.6mm dây silicone,2540000,Amazfit,Smartwatch,4.9,258,https://www.thegioididong.com/dong-ho-thong-minh/amazfit-active-edge,09/2023,2025-09-09 19:32:30,Hãng không công bố,Hãng không công bố,Kính cường lực,1.32 inch,AMOLED,Zepp OS 2.0,"Chống nước 10 ATM (Bơi, lặn vùng nước nông)",Bluetooth v5.0,370 mAh,34 g,Khung nhựa - Viền hợp kim nhôm
325375,Huawei Watch Fit 3 43.2mm dây silicone,2090000,Huawei,Smartwatch,4.9,21862,https://www.thegioididong.com/dong-ho-thong-minh/huawei-watch-fit-3,05/2024,2025-09-09 19:32:32,Hãng không công bố,Hãng không công bố,Kính cường lực,1.82 inch,AMOLED,Harmony OS,"Chống nước 5 ATM - ISO 228102010 (Tắm, bơi vùng nước nông)",Bluetooth v5.2,400 mAh,26 g,Hợp kim nhôm
287372,Garmin Venu SQ 2 40.6mm dây silicone,3890000,Garmin,Smartwatch,4.9,428,https://www.thegioididong.com/dong-ho-thong-minh/garmin-venu-sq-2-day-silicone,09/2022,2025-09-09 19:32:32,Hãng không công bố,Dữ liệu hoạt động trong vòng 200 giờ,Kính cường lực Gorilla Glass 3,1.41 inch,AMOLED,Hãng không công bố,"Kháng nước 5 ATM (Tắm, bơi vùng nước nông)","Bluetooth, GPS",Hãng không công bố,38 g,Khung Polyme - Viền Nhôm
330179,Huawei Watch GT 5 Pro 42mm viền gốm dây cao su,8040000,Huawei,Smartwatch,5.0,242,https://www.thegioididong.com/dong-ho-thong-minh/huawei-watch-gt-5-pro-42mm-vien-gom-day-cao-su,10/2024,2025-09-09 19:32:34,Hãng không công bố,Hãng không công bố,Kính Sapphire,1.32 inch,AMOLED,Harmony OS,"Chống nước 5 ATM - ISO 228102010 (Tắm, bơi vùng nước nông)","Bluetooth v5.2, NFC",Hãng không công bố,44 g,Gốm tinh thể nano
