id,name,price,brand,category,chipset,ram,storage,screen_size,screen_tech,screen_resolution,screen_frequency,operating_system,battery,rating,reviews_count,url,created_at,updated_at
322128,Điện thoại OPPO Find X8 5G 16GB/512GB,21580000,OPPO,Smartphone,MediaTek Dimensity 9400 8 nhân,16 GB,512 GB,"6.59""",AMOLED,1.5K+ (1256 x 2760 Pixels),120 Hz,Android 15,5630 mAh,5.0,1078,https://www.thegioididong.com/dtdd/oppo-find-x8,11/2024,2025-09-02 15:16:21
342939,Điện thoại Masstel IZI 10 4G Type-C,410000,Masstel,Phone,Unisoc UMS9117,48 MB,128 MB,"1.77""",TFT LCD,QQVGA (128 x 160 Pixels),,,1000 mAh,5.0,293,https://www.thegioididong.com/dtdd/masstel-izi-10-type-c,08/2025,2025-09-02 15:16:21
334969,Điện thoại Tecno Spark 30 8GB/128GB,3820000,Tecno,Smartphone,MediaTek Helio G91 Ultra 8 nhân,8 GB,128 GB,"6.78""",IPS LCD,Full HD+ (1080 x 2460 Pixels),90 Hz,Android 14,5000 mAh,4.9,1362,https://www.thegioididong.com/dtdd/tecno-spark-30,03/2025,2025-09-02 15:16:23
329149,Điện thoại iPhone 16 Pro Max 256GB,30090000,iPhone (Apple),Smartphone,Apple A18 Pro 6 nhân,8 GB,256 GB,"6.9""",OLED,Super Retina XDR (1320 x 2868 Pixels),120 Hz,iOS 18,33 giờ,4.9,252052,https://www.thegioididong.com/dtdd/iphone-16-pro-max,09/2024,2025-09-02 15:16:24
307174,Điện thoại Samsung Galaxy S24 Ultra 5G 12GB/256GB,23300000,Samsung,Smartphone,Snapdragon 8 Gen 3 for Galaxy,12 GB,256 GB,"6.8""",Dynamic AMOLED 2X,2K+ (1440 x 3120 Pixels),120 Hz,Android 14,5000 mAh,4.9,36777,https://www.thegioididong.com/dtdd/samsung-galaxy-s24-ultra-5g,01/2024,2025-09-02 15:16:24
339174,Điện thoại OPPO Reno14 5G 12GB/512GB,16190000,OPPO,Smartphone,MediaTek Dimensity 8350 5G 8 nhân,12 GB,512 GB,"6.59""",AMOLED,1.5K (1256 x 2760 Pixles),120 Hz,Android 15,6000 mAh,5.0,7048,https://www.thegioididong.com/dtdd/oppo-reno14-5g-512gb,07/2025,2025-09-02 15:16:24
339243,Điện thoại HONOR 400 5G 12GB/256GB Vàng,13050000,HONOR,Smartphone,Snapdragon 7 Gen 3 8 nhân,12 GB,256 GB,"6.55""",AMOLED,1.5K (1264 x 2736 Pixels),120 Hz,Android 15,6000 mAh,5.0,217,https://www.thegioididong.com/dtdd/honor-400,06/2025,2025-09-02 15:16:25
329151,Điện thoại iPhone 16 Pro Max 1TB,42690000,iPhone (Apple),Smartphone,Apple A18 Pro 6 nhân,8 GB,1 TB,"6.9""",OLED,Super Retina XDR (1320 x 2868 Pixels),120 Hz,iOS 18,33 giờ,5.0,8147,https://www.thegioididong.com/dtdd/iphone-16-pro-max-1tb,09/2024,2025-09-02 15:16:25
335579,Điện thoại realme C75x 8GB/256GB,5690000,realme,Smartphone,MediaTek Helio G81-Ultra 8 nhân,8 GB,256 GB,"6.67""",IPS LCD,HD+ (720 x 1604 Pixels),120 Hz,Android 15,5600 mAh,4.9,12333,https://www.thegioididong.com/dtdd/realme-c75x-256gb,04/2025,2025-09-02 15:16:26
329330,Điện thoại realme Note 60 6GB/128GB,3730000,realme,Smartphone,Unisoc Tiger T612,6 GB,128 GB,"6.745 """,IPS LCD,HD+ (720 x 1600 Pixels),90 Hz,Android 14,5000 mAh,4.9,22637,https://www.thegioididong.com/dtdd/realme-note-60,09/2024,2025-09-02 15:16:26
337714,Điện thoại Xiaomi Redmi Note 14 Pro 5G 12GB/512GB,9500000,Xiaomi,Smartphone,MediaTek Dimensity 7300-Ultra 8 nhân,12 GB,512 GB,"6.67""",AMOLED,1.5K (1220 x 2712 Pixels),120 Hz,Xiaomi HyperOS (Android 14),5110 mAh,4.9,6540,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-14-pro-5g-12gb-512gb,01/2025,2025-09-02 15:16:26
240259,Điện thoại iPhone 14 128GB,12390000,iPhone (Apple),Smartphone,Apple A15 Bionic,6 GB,128 GB,"6.1""",OLED,Super Retina XDR (1170 x 2532 Pixels),60 Hz,iOS 17,3279 mAh,4.9,54763,https://www.thegioididong.com/dtdd/iphone-14,09/2022,2025-09-02 15:16:26
329141,Điện thoại iPhone 16 Plus 512GB,31290000,iPhone (Apple),Smartphone,Apple A18 6 nhân,8 GB,512 GB,"6.7""",OLED,Super Retina XDR (1290 x 2796 Pixels),60 Hz,iOS 18,27 giờ,5.0,388,https://www.thegioididong.com/dtdd/iphone-16-plus-512gb,09/2024,2025-09-02 15:16:27
329140,Điện thoại iPhone 16 Plus 256GB,25290000,iPhone (Apple),Smartphone,Apple A18 6 nhân,8 GB,256 GB,"6.7""",OLED,Super Retina XDR (1290 x 2796 Pixels),60 Hz,iOS 18,27 giờ,4.9,6661,https://www.thegioididong.com/dtdd/iphone-16-plus-256gb,09/2024,2025-09-02 15:16:27
333770,Điện thoại HONOR X5b Plus 4GB/128GB,2740000,HONOR,Smartphone,MediaTek Helio G36 8 nhân,4 GB,128 GB,"6.56""",TFT LCD,HD+ (720 x 1612 Pixels),90 Hz,Android 14,5200 mAh,4.9,9924,https://www.thegioididong.com/dtdd/honor-x5b-plus,01/2025,2025-09-02 15:16:28
326023,Điện thoại vivo Y28 8GB/256GB,6380000,vivo,Smartphone,MediaTek Helio G85,8 GB,256 GB,"6.68 """,IPS LCD,HD+ (720 x 1608 Pixels),90 Hz,Android 14,6000 mAh,4.9,22867,https://www.thegioididong.com/dtdd/vivo-y28-256gb,06/2024,2025-09-02 15:16:28
333352,Điện thoại Samsung Galaxy S25 Ultra 5G 12GB/1TB,34180000,Samsung,Smartphone,Qualcomm Snapdragon 8 Elite For Galaxy 8 nhân,12 GB,1 TB,"6.9""",Dynamic AMOLED 2X,2K+ (1440 x 3120 Pixels),120 Hz,Android 15,5000 mAh,5.0,926,https://www.thegioididong.com/dtdd/samsung-galaxy-s25-ultra-1tb,01/2025,2025-09-02 15:16:28
335915,Điện thoại Samsung Galaxy A26 5G 6GB/128GB,6070000,Samsung,Smartphone,Exynos 1380 8 nhân,6 GB,128 GB,"6.7""",Super AMOLED,Full HD+ (1080 x 2340 Pixels),120 Hz,Android 15,5000 mAh,4.9,9943,https://www.thegioididong.com/dtdd/samsung-galaxy-a26-6gb-128gb,04/2025,2025-09-02 15:16:29
303716,Điện thoại iPhone 15 256GB,18490000,iPhone (Apple),Smartphone,Apple A16 Bionic,6 GB,256 GB,"6.1""",OLED,Super Retina XDR (1179 x 2556 Pixels),60 Hz,iOS 17,3349 mAh,4.9,17585,https://www.thegioididong.com/dtdd/iphone-15-256gb,09/2023,2025-09-02 15:16:29
328453,Điện thoại OPPO A3 6GB/128GB,4900000,OPPO,Smartphone,Snapdragon 6s Gen 1 8 nhân,6 GB,128 GB,"6.67""",IPS LCD,HD+ (720 x 1604 Pixels),90 Hz,Android 14,5100 mAh,4.9,5130,https://www.thegioididong.com/dtdd/oppo-a3-6gb-128gb,08/2024,2025-09-02 15:16:31
328751,Điện thoại Samsung Galaxy A06 4GB/128GB,3430000,Samsung,Smartphone,MediaTek Helio G85,4 GB,128 GB,"6.7""",PLS LCD,HD+ (720 x 1600 Pixels),60 Hz,Android 14,5000 mAh,4.9,9154,https://www.thegioididong.com/dtdd/samsung-galaxy-a06-4gb-128gb,08/2024,2025-09-02 15:16:31
305660,Điện thoại iPhone 15 Pro Max 1TB,0,iPhone (Apple),Smartphone,Apple A17 Pro 6 nhân,8 GB,1 TB,"6.7""",OLED,Super Retina XDR (1290 x 2796 Pixels),120 Hz,iOS 17,4422 mAh,4.9,3933,https://www.thegioididong.com/dtdd/iphone-15-pro-max-1tb,09/2023,2025-09-02 15:16:31
322877,Điện thoại Masstel IZI T6 4G,500000,Masstel,Phone,Unisoc T107,48 MB,128 MB,"2.4""",TFT LCD,QVGA (240 x 320 Pixels),,,1800 mAh,4.9,100166,https://www.thegioididong.com/dtdd/masstel-izi-t6,04/2024,2025-09-02 15:16:32
319665,Điện thoại Samsung Galaxy S24 5G 8GB/256GB,17510000,Samsung,Smartphone,Exynos 2400 10 nhân,8 GB,256 GB,"6.2""",Dynamic AMOLED 2X,Full HD+ (1080 x 2340 Pixels),120 Hz,Android 14,4000 mAh,4.9,16243,https://www.thegioididong.com/dtdd/samsung-galaxy-s24-256gb-5g,01/2024,2025-09-02 15:16:33
335583,Điện thoại Xiaomi Redmi Note 14 5G 8GB/256GB,6860000,Xiaomi,Smartphone,MediaTek Dimensity 7025-Ultra 5G 8 nhân,8 GB,256 GB,"6.67""",AMOLED,Full HD+ (1080 x 2400 Pixels),120 Hz,Xiaomi HyperOS (Android 14),5110 mAh,4.9,7135,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-14-5g,03/2025,2025-09-02 15:16:33
334404,Điện thoại OPPO A5 Pro 5G 8GB/256GB,8040000,OPPO,Smartphone,MediaTek Dimensity 6300 5G 8 nhân,8 GB,256 GB,"6.67""",IPS LCD,HD+ (720 x 1604 Pixels),120 Hz,Android 15,5800 mAh,4.9,32574,https://www.thegioididong.com/dtdd/oppo-a5-pro-5g,03/2025,2025-09-02 15:16:34
305660,Điện thoại iPhone 15 Pro Max 1TB,0,iPhone (Apple),Smartphone,Apple A17 Pro 6 nhân,8 GB,1 TB,"6.7""",OLED,Super Retina XDR (1290 x 2796 Pixels),120 Hz,iOS 17,4422 mAh,4.9,3933,https://www.thegioididong.com/dtdd/iphone-15-pro-max-1tb,09/2023,2025-09-02 15:16:34
