sku,name,price,brand,category,rating,reviews_count,url,release_date,updated_at,cpu,cpu_cores,cpu_threads,cpu_speed,gpu,ram,max_ram,ram_type,ram_bus,storage,webcam,screen_panel,screen_size,screen_tech,screen_res,screen_rate,screen_nits,os,battery,weight,material,connectivity,ports
328814,"Laptop HP 240 G9 - AG2J7AT (i5 1235U, 16GB, 512GB, Full HD, Win11)",14990000,HP,Laptop,5.0,4326,https://www.thegioididong.com/laptop/hp-240-g9-i5-ag2j7at,2024,2025-09-24 07:20:55,Intel Core i5 Alder Lake - 1235U,10,12,1.30 GHz (Lên đến 4.40 GHz khi tải nặng),Card tích hợp - Intel UHD Graphics (Iris Xe Graphics chỉ hoạt động với RAM kênh đôi),16 GB,32 GB,DDR4 (1 khe 16 GB + 1 khe rời),3200 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",HD webcam,IPS,"14""","Chống chói Anti Glare, 250 nits",Full HD (1920 x 1080),60Hz,250 nits,Windows 11 Home SL,"3-cell Li-ion, 41 Wh",1.47 kg,Vỏ nhựa,"Wi-Fi 6 (802.11ax), Bluetooth 5.3","2 x USB 3.2, HDMI, 1 x Headphone/microphone combo, LAN (RJ45), USB Type-C"
341603,"Laptop Acer Gaming Nitro V 15 ProPanel ANV15 41 R7CR - NH.QPESV.003 (R5 7535HS, 16GB, 512GB, RTX 4050 6GB, Full HD 180Hz, Win11)",25490000,Acer,Laptop,5.0,15,https://www.thegioididong.com/laptop/acer-nitro-v-15-propanel-anv15-41-r7cr-r5-7535hs-nh-qpesv-003,2025,2025-09-24 07:20:55,AMD Ryzen 5 - 7535HS,6,12,3.30 GHz (Lên đến 4.55 GHz khi tải nặng),"Card rời - NVIDIA GeForce RTX 4050, 6 GB",16 GB,96 GB,DDR5 (1 khe 16 GB + 1 khe rời),2400 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 4 TB)",HD webcam,IPS,"15.6""","Acer ComfyView, WVA",Full HD (1920 x 1080),180 Hz,,Windows 11 Home SL,"4-cell, 57Wh",2.1 kg,Vỏ nhựa,"Wi-Fi 6 (802.11ax), Bluetooth 5.1","Jack tai nghe 3.5 mm, 3 x USB 3.2, 1 x USB Type-C USB 4 (hỗ trợ DisplayPort), LAN (RJ45), HDMI 2.1"
314849,"Laptop MSI Gaming Bravo 15 B7ED - 010VN (R5 7535HS, 16GB, 512GB, RX 6550M 4GB, Full HD 144Hz, Win11)",17190000,MSI,Laptop,4.9,1543,https://www.thegioididong.com/laptop/msi-bravo-15-b7ed-r5-010vn,2023,2025-09-24 07:20:55,AMD Ryzen 5 - 7535HS,6,12,3.30 GHz (Lên đến 4.55 GHz khi tải nặng),"Card rời - AMD Radeon RX 6550M, 4 GB",16 GB,64 GB,DDR5 (1 khe 8 GB + 1 khe 8 GB),4800 MHz,"512 GB SSD NVMe PCIe Gen 4.0, Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng",HD webcam,IPS,"15.6""",,Full HD (1920 x 1080),144Hz,,Windows 11 Home SL,"3-cell, 53.5Wh",2.25 kg,Vỏ nhựa,"Wi-Fi 6E (802.11ax), Bluetooth 5.3","1 x USB 2.0, Jack tai nghe 3.5 mm, 2 x USB 3.2, HDMI, 1 x USB Type-C (hỗ trợ USB 3.2, DisplayPort), LAN (RJ45)"
342725,"Laptop HP 15 fr0036TU - BZ7U2PA (i5 13420H, 16GB, 512GB, Full HD, Win11)",16690000,HP,Laptop,5.0,78,https://www.thegioididong.com/laptop/hp-15-fr0036tu-i5-13420h-bz7u2pa,2025,2025-09-24 07:20:56,Intel Core i5 Raptor Lake - 13420H,8,12,2.10 GHz (Lên đến 4.60 GHz khi tải nặng),Card tích hợp - Intel Iris Xe Graphics,16 GB,16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),3200 MHz,"512 GB SSD PCIe M.2 (2280) (Có thể tháo rời, lắp thanh khác tối đa 1 TB (2280))",HP True Vision 720p HD camera,IPS,"15.6""","Chống chói Anti Glare, 250 nits",Full HD (1920 x 1080),Hãng không công bố,250 nits,Windows 11 Home SL,"3-cell Li-ion, 41 Wh",1.59 kg,Vỏ nhựa,"Wi-Fi 6 (2 x 2), Bluetooth 5.3","Jack tai nghe 3.5 mm, 2 x USB Type-A, 1 x USB Type-C (hỗ trợ truyền dữ liệu,Power Delivery 3.1, DisplayPort 1.4b, HP Sleep and Charge), HDMI 1.4"
327977,"Laptop Asus Vivobook 15 X1504ZA - NJ1546W (i5 1235U, 16GB, 512GB, Full HD, Win11)",13690000,Asus,Laptop,4.9,2147,https://www.thegioididong.com/laptop/asus-vivobook-15-x1504za-i5-nj1546w,2023,2025-09-24 07:20:56,Intel Core i5 Alder Lake - 1235U,10,12,1.30 GHz (Lên đến 4.40 GHz khi tải nặng),Card tích hợp - Intel Iris Xe Graphics,16 GB,16 GB,DDR4 (8 GB onboard + 1 khe 8 GB),3200 MHz,512 GB SSD NVMe PCIe,HD webcam,,"15.6""","Chống chói Anti Glare, LED Backlit",Full HD (1920 x 1080),60Hz,,Windows 11 Home SL,"3-cell Li-ion, 42 Wh",1.7 kg,Vỏ nhựa,"Wi-Fi 6E (802.11ax), Bluetooth 5.3","1 x USB 2.0, Jack tai nghe 3.5 mm, 2 x USB 3.2, HDMI, USB Type-C"
339587,"Laptop Lenovo IdeaPad Slim 5 OLED 14AKP10 - 83HX0066VN (R7 AI 350, 32GB, 512GB, WUXGA OLED, Win11)",26690000,Lenovo,Laptop,5.0,239,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-5-oled-14akp10-r7-ai-350-83hx0066vn,2025,2025-09-24 07:20:56,AMD Ryzen AI 7 - 350,8,16,2.00 GHz (Lên đến 5.00 GHz khi tải nặng),Card tích hợp - AMD Radeon 860M,32 GB,32 GB,DDR5 (1 khe 16 GB + 1 khe 16 GB),5600 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)","Full HD Webcam, Camera IR",OLED,"14""","Chuẩn DisplayHDR True Black 500, 400 nits",WUXGA (1920 x 1200) - OLED,60Hz,400 nits,Windows 11 Home SL,60 Wh,1.39 kg,Vỏ kim loại - Nhôm,"Wi-Fi 7 (802.11be), Bluetooth 5.4","1 x USB 3.2, HDMI, 1 x Headphone/microphone combo, 1 x USB 3.2 (Always on), 2 x USB Type-C (hỗ trợ truyền dữ liệu, Power Delivery 3.0 và DisplayPort 1.4)"
334796,"Laptop Asus Zenbook 14 UX3405CA - PZ187WS (Ultra 5 225H, 16GB, 512GB, 2.8K OLED 120Hz, Cảm ứng, OfficeH24+365, Win11)",26290000,Asus,Laptop,5.0,237,https://www.thegioididong.com/laptop/asus-zenbook-14-ux3405ca-ultra-5-pz187ws,2025,2025-09-24 07:20:56,Intel Core Ultra 5 Arrow Lake - 225H,14,14,1.70 GHz (Lên đến 4.90 GHz khi tải nặng),Card tích hợp - Intel Arc Graphics,16 GB,Không hỗ trợ nâng cấp,LPDDR5X (Onboard),7467 MHz,512 GB SSD NVMe PCIe,"Full HD Webcam, Camera IR",OLED,"14""","Thời gian phản hồi 0.2 ms, Màn hình bảo vệ mắt - EYE CARE, Chuẩn DisplayHDR True Black 500, Low Blue Light, 400 nits, 500 nits (Khi bật HDR), 1.07 tỷ màu",2.8K (2880 x 1800) - OLED 1610,120Hz,400 nits,Windows 11 Home SL + Office Home 2024 vĩnh viễn + Microsoft 365 Basic,"4-cell Li-ion, 75 Wh",1.28 kg,Vỏ kim loại - Nhôm,"Wi-Fi 7 (802.11be), Bluetooth 5.4","Jack tai nghe 3.5 mm, 1 x USB 3.2, HDMI, 2 x Thunderbolt 4 (hỗ trợ Power Delivery, DisplayPort)"
339687,"Laptop Asus TUF Gaming F16 FX607VJ - RL034W (Core 5 210H, 16GB, 512GB, RTX 3050 6GB, Full HD+ 144Hz, Win11)",21690000,Asus,Laptop,4.9,542,https://www.thegioididong.com/laptop/asus-tuf-gaming-f16-fx607vj-core-5-rl034w,2025,2025-09-24 07:20:56,Intel Core 5 Raptor Lake - 210H,8,12,2.20 GHz (Lên đến 4.80 GHz khi tải nặng),"Card rời - NVIDIA GeForce RTX 3050, 6 GB",16 GB,64 GB,DDR4 (1 khe 16 GB + 1 khe rời),3200 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",HD webcam,IPS,"16""","Thời gian phản hồi 3 ms, Chống chói Anti Glare, 300 nits",Full HD+,144Hz,300 nits,Windows 11 Home SL,"4-cell, 56Wh",2.2 kg,Vỏ nhựa - nắp lưng bằng kim loại,"Wi-Fi 6 (802.11ax), Bluetooth 5.3","Jack tai nghe 3.5 mm, 2 x USB 3.2, HDMI, LAN (RJ45), 1 x USB Type-C 3.2 (hỗ trợ Power Delivery và DisplayPort)"
322100,"Laptop MSI Gaming Sword 16 HX B14VFKG - 045VN (i7 14700HX, 16GB, 1TB, RTX 4060 8GB, QHD+ 240Hz, Win11)",36690000,MSI,Laptop,4.9,202,https://www.thegioididong.com/laptop/msi-gaming-sword-16-hx-b14vfkg-i7-045vn,2024,2025-09-24 07:20:57,Intel Core i7 Raptor Lake - 14700HX,20,28,2.10 GHz (Lên đến 5.50 GHz khi tải nặng),"Card rời - NVIDIA GeForce RTX 4060, 8 GB",16 GB,96 GB,DDR5 (1 khe 8 GB + 1 khe 8 GB),5600 MHz,1 TB SSD NVMe PCIe Gen 4,HD webcam,IPS,"16""",,QHD+ (2560 x 1600),240Hz,,Windows 11 Home SL,"4-cell, 65Wh",2.3 kg,Vỏ nhựa,"Wi-Fi 6E (802.11ax), Bluetooth 5.3","Jack tai nghe 3.5 mm, 3 x USB 3.2, HDMI, 1 x USB Type-C (hỗ trợ USB 3.2, DisplayPort), LAN (RJ45)"
340487,"Laptop Lenovo Gaming Legion 5 15IRX10 - 83LY00A6VN (i7 14700HX, 24GB, 512GB, RTX 5050 8GB, WQXGA OLED 165Hz, OfficeH24, Win11)",38290000,Lenovo,Laptop,5.0,74,https://www.thegioididong.com/laptop/lenovo-legion-5-15irx10-i7-83ly00a6vn,2025,2025-09-24 07:20:57,Intel Core i7 Raptor Lake - 14700HX,20,28,2.10 GHz (Lên đến 5.50 GHz khi tải nặng),"Card rời - NVIDIA GeForce RTX 5050, 8 GB",24 GB,32 GB,DDR5 (1 khe 12 GB + 1 khe 12 GB),4800 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",Camera 5.0 MP,OLED,"15.1""","Chuẩn DisplayHDR True Black 600, 500 nits Glossy, Dolby Vision",WQXGA (2560 x 1600) OLED,165 Hz,500 nits,Windows 11 Home SL + Office Home 2024 vĩnh viễn,80 Wh,1.9 kg,Vỏ nhựa - nắp lưng bằng kim loại,"Wi-Fi 7 (802.11be), Bluetooth 5.4","2 x USB 3.2, HDMI, 1 x USB-C 3.2 (hỗ trợ USB Power Delivery 65-100W và DisplayPort 2.1), 1 x USB Type-C (hỗ trợ DisplayPort 1.4), 1 x Headphone/microphone combo, LAN (RJ45), 1 x USB 3.2 (Always on)"
