id,name,price,brand,category,chipset,chipset_speed,gpu,ram,storage,screen_size,screen_tech,screen_resolution,screen_frequency,operating_system,battery,rating,reviews_count,url,created_at,updated_at
334530,Máy tính bảng Xiaomi Pad 7 WiFi 8GB/256GB,10190000,Xiaomi,Tablet,,,,,,,,,,,,5.0,2026,https://www.thegioididong.com/may-tinh-bang/xiaomi-pad-7-8gb-256gb,03/2025,2025-08-31 18:48:29
335279,Máy tính bảng iPad Air M3 13 inch 5G 128GB,24590000,iPad (Apple),Tablet,,,,,,,,,,,,5.0,51,https://www.thegioididong.com/may-tinh-bang/ipad-air-m3-13-inch-5g-128gb,03/2025,2025-08-31 18:48:30
339287,Máy tính bảng OPPO Pad SE WiFi màn hình nhám 4GB/128GB,5890000,OPPO,Tablet,,,,,,,,,,,,5.0,18,https://www.thegioididong.com/may-tinh-bang/oppo-pad-se-matte-display-edition,07/2025,2025-08-31 18:48:30
322132,Máy tính bảng Samsung Galaxy Tab S10 Ultra 5G 12GB/256GB,23080000,Samsung,Tablet,,,,,,,,,,,,5.0,156,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-s10-ultra,10/2024,2025-08-31 18:48:30
328521,Máy tính bảng Xiaomi Redmi Pad SE 8.7 WiFi 4GB/128GB,3390000,Xiaomi,Tablet,,,,,,,,,,,,5.0,920,https://www.thegioididong.com/may-tinh-bang/redmi-pad-se-8-7-wifi-4gb-128gb,08/2024,2025-08-31 18:48:30
315390,Máy tính bảng Samsung Galaxy Tab A9 WiFi 4GB/64GB,3620000,Samsung,Tablet,,,,,,,,,,,,4.9,10577,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-a9,10/2023,2025-08-31 18:48:31
325534,Máy tính bảng iPad Pro M4 13 inch 5G 256GB,38790000,iPad (Apple),Tablet,,,,,,,,,,,,5.0,269,https://www.thegioididong.com/may-tinh-bang/ipad-pro-m4-13-inch-wifi-cellular-256gb,05/2024,2025-08-31 18:48:33
335267,Máy tính bảng iPad Air M3 11 inch WiFi 128GB,14490000,iPad (Apple),Tablet,,,,,,,,,,,,5.0,2593,https://www.thegioididong.com/may-tinh-bang/ipad-air-m3-11-inch-wifi-128gb,03/2025,2025-08-31 18:48:35
335268,Máy tính bảng iPad Air M3 11 inch WiFi 256GB,17590000,iPad (Apple),Tablet,,,,,,,,,,,,5.0,756,https://www.thegioididong.com/may-tinh-bang/ipad-air-m3-11-inch-wifi-256gb,03/2025,2025-08-31 18:48:35
336737,Máy tính bảng Samsung Galaxy Tab S10 FE WiFi 8GB/128GB,10590000,Samsung,Tablet,,,,,,,,,,,,5.0,2351,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-s10-fe,04/2025,2025-08-31 18:48:36
328524,Máy tính bảng Xiaomi Redmi Pad SE 8.7 4G 6GB/128GB,5400000,Xiaomi,Tablet,,,,,,,,,,,,5.0,988,https://www.thegioididong.com/may-tinh-bang/redmi-pad-se-8-7-4g-6gb-128gb,08/2024,2025-08-31 18:48:37
331231,Máy tính bảng iPad mini 7 WiFi 512GB,18590000,iPad (Apple),Tablet,,,,,,,,,,,,5.0,49,https://www.thegioididong.com/may-tinh-bang/ipad-mini-7-wifi-512gb,10/2024,2025-08-31 18:48:38
333481,Máy tính bảng Samsung Galaxy Tab A9+ WiFi 8GB/128GB,6870000,Samsung,Tablet,,,,,,,,,,,,4.9,4523,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-a9-plus-wifi-8gb-128gb,12/2024,2025-08-31 18:48:40
339205,Máy tính bảng Xiaomi Redmi Pad 2 WiFi 6GB/128GB,5690000,Xiaomi,Tablet,,,,,,,,,,,,5.0,305,https://www.thegioididong.com/may-tinh-bang/xiaomi-redmi-pad-2-wifi-6gb-128gb,06/2025,2025-08-31 18:48:41
315622,Máy tính bảng Xiaomi Redmi Pad SE WiFi 8GB/256GB,4990000,Xiaomi,Tablet,,,,,,,,,,,,4.9,8689,https://www.thegioididong.com/may-tinh-bang/xiaomi-redmi-pad-se-8gb,09/2023,2025-08-31 18:48:41
331231,Máy tính bảng iPad mini 7 WiFi 512GB,18590000,iPad (Apple),Tablet,,,,,,,,,,,,5.0,49,https://www.thegioididong.com/may-tinh-bang/ipad-mini-7-wifi-512gb,10/2024,2025-08-31 18:48:42
343062,Máy tính bảng Samsung Galaxy Tab S10 Lite WiFi 6GB/128GB,8990000,Samsung,Tablet,,,,,,,,,,,,,,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-s10-lite-wifi-6gb-128gb,09/2025,2025-08-31 18:48:42
333481,Máy tính bảng Samsung Galaxy Tab A9+ WiFi 8GB/128GB,6870000,Samsung,Tablet,,,,,,,,,,,,4.9,4523,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-a9-plus-wifi-8gb-128gb,12/2024,2025-08-31 18:48:42
325524,Máy tính bảng iPad Air 6 M2 11 inch 5G 1TB,26890000,iPad (Apple),Tablet,,,,,,,,,,,,5.0,17,https://www.thegioididong.com/may-tinh-bang/ipad-air-m2-11-inch-wifi-cellular-1tb,05/2024,2025-08-31 18:48:42
331229,Máy tính bảng iPad mini 7 WiFi 128GB,11790000,iPad (Apple),Tablet,,,,,,,,,,,,4.9,3543,https://www.thegioididong.com/may-tinh-bang/ipad-mini-7-wifi,10/2024,2025-08-31 18:48:42
339285,Máy tính bảng OPPO Pad SE WiFi 4GB/128GB,5400000,OPPO,Tablet,,,,,,,,,,,,5.0,624,https://www.thegioididong.com/may-tinh-bang/oppo-pad-se-wifi-4gb-128gb,07/2025,2025-08-31 18:48:43
335313,Máy tính bảng iPad A16 5G 512GB,20690000,iPad (Apple),Tablet,,,,,,,,,,,,5.0,17,https://www.thegioididong.com/may-tinh-bang/ipad-11-5g-512gb,03/2025,2025-08-31 18:48:44
317623,Máy tính bảng Samsung Galaxy Tab A9+ 5G 4GB/64GB,7360000,Samsung,Tablet,,,,,,,,,,,,4.9,24147,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-a9-plus-5g,10/2023,2025-08-31 18:48:44
328520,Máy tính bảng Xiaomi Redmi Pad SE 8.7 WiFi 4GB/64GB,3430000,Xiaomi,Tablet,,,,,,,,,,,,4.9,9696,https://www.thegioididong.com/may-tinh-bang/redmi-pad-se-8-7-wifi-4gb-64gb,08/2024,2025-08-31 18:48:45
