sku,name,price,brand,category,rating,reviews_count,url,release_date,updated_at,cpu,storage,screen_type,screen_size,screen_panel,os,water_resistant,connectivity,battery,weight,material
330178,Huawei Watch GT 5 46mm viền thép dây cao su,4100000,Huawei,Smartwatch,4.9,4055,https://www.thegioididong.com/dong-ho-thong-minh/huawei-watch-gt-5-46mm-vien-thep-day-cao-su,05/2025,2025-09-24 07:18:03,Hãng không công bố,Hãng không công bố,Kính cường lực,1.43 inch,AMOLED,Harmony OS,"Chống nước 5 ATM - ISO 228102010 (Tắm, bơi vùng nước nông)","Bluetooth v5.2, NFC",Hãng không công bố,48 g,Thép không gỉ
326906,Đồng hồ định vị trẻ em Masstel Smart Hero 6,1260000,Masstel,Smartwatch,4.9,12351,https://www.thegioididong.com/dong-ho-thong-minh/masstel-smart-hero-6,06/2024,2025-09-24 07:18:03,W117,128 MB,Kính thường,1.4 inch,TFT-LCD,RTOS,"Kháng nước IP68 (Tắm, đi mưa)","LBS, Wifi Location",680 mAh,52 g,Nhựa
332069,Xiaomi Redmi Watch 5 47.5 mm dây TPU,2440000,Xiaomi,Smartwatch,4.9,22779,https://www.thegioididong.com/dong-ho-thong-minh/xiaomi-redmi-watch-5,12/2024,2025-09-24 07:18:04,Hãng không công bố,512 MB,Kính cường lực,2.07 inch,AMOLED,Hãng không công bố,"Chống nước 5 ATM - ISO 228102010 (Tắm, bơi vùng nước nông)",Bluetooth v5.3,550 mAh,33.5 g,Hợp kim nhôm
327697,Samsung Galaxy Watch7 44mm dây silicone,5340000,Samsung,Smartwatch,4.9,1442,https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-watch7-44mm,07/2024,2025-09-24 07:18:04,Exynos W1000,32 GB,Kính Sapphire,1.47 inch,Super AMOLED,Wear OS được tùy biến bởi Samsung,"Chống nước 5 ATM - ISO 228102010 (Tắm, bơi vùng nước nông)","Bluetooth v5.3, NFC, Wifi",425 mAh,33.8 g,Hợp kim nhôm
321616,Vòng tay thông minh Samsung Galaxy Fit3,890000,Samsung,Smartband,4.9,33337,https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-fit3,2024,2025-09-24 07:18:04,,256 MB,Kính thường,1.6 inch,AMOLED,FreeRTOS,"Kháng nước 5 ATM (Tắm, bơi vùng nước nông)",Bluetooth v5.3,208 mAh,36.8 g,Nhôm
338265,Samsung Galaxy Watch8 40mm dây silicone,7990000,Samsung,Smartwatch,5.0,628,https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-watch8,07/2025,2025-09-24 07:18:04,Exynos W1000,32 GB,Kính Sapphire,1.34 inch,Super AMOLED,Wear OS được tùy biến bởi Samsung,"Chống nước 5 ATM - ISO 228102010 (Tắm, bơi vùng nước nông)","Bluetooth v5.3, NFC, Wifi",325 mAh,30.1 g,Nhôm nguyên khối
330175,Huawei Watch GT 5 41mm viền thép dây Woven,4600000,Huawei,Smartwatch,5.0,311,https://www.thegioididong.com/dong-ho-thong-minh/huawei-watch-gt-5-41mm-vien-thep-day-woven,10/2024,2025-09-24 07:18:05,Hãng không công bố,Hãng không công bố,Kính cường lực,1.32 inch,AMOLED,Harmony OS,"Chống nước 5 ATM - ISO 228102010 (Tắm, bơi vùng nước nông)","Bluetooth v5.2, NFC",Hãng không công bố,35 g,Thép không gỉ
300687,Đồng hồ định vị trẻ em Masstel Smart Hero 20,1240000,Masstel,Smartwatch,4.9,4746,https://www.thegioididong.com/dong-ho-thong-minh/masstel-smart-hero-20,01/2023,2025-09-24 07:18:05,Hãng không công bố,128 MB,Kính thường,1.7 inch,TFT,Hãng không công bố,"Kháng nước IP68 (Tắm, đi mưa)",Wifi,720 mAh,,Nhựa
344767,Apple Watch SE 3 40mm viền nhôm dây thể thao,6990000,Apple,Smartwatch,,,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-se-3-40mm-vien-nhom-day-the-thao,09/2025,2025-09-24 07:18:06,Apple S10,64 GB,Ion-X strengthened glass,Hãng không công bố,OLED,watchOS phiên bản mới nhất,"Chống nước 5 ATM - ISO 228102010 (Tắm, bơi vùng nước nông)","Bluetooth v5.3, GPS, Wifi",Hãng không công bố,26.3 g,Nhôm
330179,Huawei Watch GT 5 Pro 42mm viền gốm dây cao su,8040000,Huawei,Smartwatch,5.0,249,https://www.thegioididong.com/dong-ho-thong-minh/huawei-watch-gt-5-pro-42mm-vien-gom-day-cao-su,10/2024,2025-09-24 07:18:07,Hãng không công bố,Hãng không công bố,Kính Sapphire,1.32 inch,AMOLED,Harmony OS,"Chống nước 5 ATM - ISO 228102010 (Tắm, bơi vùng nước nông)","Bluetooth v5.2, NFC",Hãng không công bố,44 g,Gốm tinh thể nano
