sku,name,price,brand,category,rating,reviews_count,url,release_date,updated_at,sound_tech,compatible,control,connectivity,water_resistant,ports,battery,case_battery,weight
325342,Tai nghe Bluetooth chụp tai Marshall Monitor II A.N.C.,7850000,Marshall,Headphone,5.0,81,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-chup-tai-marshall-monitor-ii-a-n-c,,2025-09-22 09:03:34,"Marshall Signature Sound, Active Noise Cancelling, Driver 40 mm","macOS, Android, iOS, Windows",Phím nhấn,Bluetooth 5.0,,"Type-C, 3.5 mm",Dùng 45 giờ - Sạc 2 giờ,,320 g
310400,Tai nghe Bluetooth True Wireless Havit TW947,350000,HAVIT,Earbuds,4.9,3608,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-true-wireless-havit-tw947,,2025-09-22 09:03:36,Công nghệ ENC,"macOS, Android, iOS, Windows",Cảm ứng chạm,Bluetooth 5.3,,Type-C,Dùng 6 giờ - Sạc 1.5 giờ,Dùng 30 giờ - Sạc 2 giờ,4.36 g
329299,Tai nghe Bluetooth True Wireless Rezo K50,440000,Rezo,Earbuds,4.9,11718,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-true-wireless-rezo-k50,,2025-09-22 09:03:36,Driver 13 mm,"macOS, Android, iOS, Windows",Cảm ứng,Bluetooth 5.4,,Type-C,Dùng 4 giờ - Sạc 1 giờ,Dùng 16 giờ - Sạc 1 giờ,4 g
320942,Tai nghe Bluetooth True Wireless Baseus Bowie E13,270000,Baseus,Earbuds,4.9,8262,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-true-wireless-baseus-bowie-e13,,2025-09-22 09:03:37,,"macOS, Android, iOS, Windows",Cảm ứng chạm,Bluetooth 5.3,,Type-C,Dùng Khoảng 6 giờ (âm lượng 70%) - Sạc 1 giờ,Dùng 30 giờ - Sạc 1.5 giờ,3.9 g
332456,Tai nghe Bluetooth True Wireless JBL Tune Beam 2,2345000,JBL,Earbuds,4.9,1590,https://www.thegioididong.com/tai-nghe/tai-nghe-tws-jbl-tune-beam-2,,2025-09-22 09:03:41,"Personni-Fi 3.0, Driver 10 mm, Active Noise Cancelling, Ambient Aware, JBL Pure Bass, TalkThru, JBL Spatial Sound","macOS, Android, iOS, Windows",Cảm ứng chạm,Bluetooth 5.3,IP54,Type-C,Dùng 12 giờ - Sạc 2 giờ,Dùng 48 giờ - Sạc 2 giờ,5.2 g
310123,Tai nghe Bluetooth True Wireless HAVIT TW967,0,HAVIT,Earbuds,4.9,23849,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-true-wireless-havit-tw967,,2025-09-22 09:03:41,,"macOS, Android, iOS, Windows",Cảm ứng chạm,Bluetooth 5.1,,Type-C,Dùng 5 giờ - Sạc 1.5 giờ,Dùng 18 giờ - Sạc 2 giờ,4 g
327688,Tai nghe Bluetooth TWS OPPO ENCO Air 4 Pro ETEA1,1950000,OPPO,Earbuds,4.9,5039,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-tws-oppo-enco-air-4-pro-etea1,,2025-09-22 09:03:41,"LHDC 5.0 codec, Dynamic Driver 12.4 mm, Hi-Res Audio, Chống ồn kỹ thuật số","macOS, Android, iOS, Windows",Cảm ứng chạm,Bluetooth 5.4,IP55,Type-C,Dùng 12 giờ - Sạc 1 giờ,Dùng 44 giờ - Sạc Khoảng 80 phút,4.4 g
312518,Tai nghe Bluetooth Chụp Tai JBL Tune 520BT,990000,JBL,Headphone,4.9,5454,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-chup-tai-jbl-tune-520bt,,2025-09-22 09:03:41,"JBL Pure Bass Sound, Kích thước driver 33 mm","macOS, Android, iOS (iPhone), Windows",Phím nhấn,Bluetooth 5.3,,Type-C,Dùng 57 giờ - Sạc 2 giờ,,157 g
330249,Tai nghe Bluetooth True Wireless Rezo RZ09 ANC,560000,Rezo,Earbuds,4.9,7719,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-true-wireless-rezo-rz09-anc,,2025-09-22 09:03:41,"Driver 10 mm, Active Noise Cancellation, Công nghệ ENC","macOS, Android, iOS, Windows",Cảm ứng,Bluetooth 5.4,,Type-C,Dùng 4 giờ - Sạc 2 giờ,Dùng 16 giờ - Sạc 2 giờ,4 g
327689,Tai nghe Có dây OPPO MH135,220000,OPPO,Earphones,4.9,39331,https://www.thegioididong.com/tai-nghe/tai-nghe-ep-oppo-mh135,,2025-09-22 09:03:44,,"macOS, Android, iOS, Windows",Phím nhấn,,,3.5 mm,,,12.3 g
