id,name,price,brand,category,cpu,cpu_speed,gpu,ram,ram_type,storage,screen_size,screen_tech,screen_resolution,screen_frequency,operating_system,battery,rating,reviews_count,url,created_at,updated_at
334442,"Laptop Lenovo IdeaPad Slim 3 15IRH10 - 83K1000HVN (i5 13420H, 16GB, 512GB, WUXGA, Win11)",15290000,Lenovo,Laptop,Intel Core i5 Raptor Lake - 13420H,2.10 GHz (Lên đến 4.60 GHz khi tải nặng),Card tích hợp - Intel UHD Graphics,16 GB,DDR5 (1 khe 8 GB onboard + 1 khe 8 GB) 4800 MHz,512 GB SSD NVMe PCIe,"15.3""",IPS,WUXGA (1920 x 1200),60Hz,Windows 11 Home SL,60 Wh,4.9,2472,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-3-15irh10-i5-83k1000hvn,2024,2025-09-01 23:33:07
340004,"Laptop MSI Gaming Katana 15 B13UDXK - 2410VN (i5 13420H, 16GB, 512GB, RTX 3050 6GB, Full HD 144Hz, Win11)",21790000,MSI,Laptop,Intel Core i5 Raptor Lake - 13420H,2.10 GHz (Lên đến 4.60 GHz khi tải nặng),"Card rời - NVIDIA GeForce RTX 3050, 6 GB",16 GB,DDR5 (1 khe 16 GB + 1 khe rời) 5200 MHz,512 GB SSD NVMe PCIe,"15.6""",IPS,Full HD (1920 x 1080),144Hz,Windows 11 Home SL,"3-cell, 53.5Wh",5.0,8,https://www.thegioididong.com/laptop/msi-katana-15-b13udxk-i5-2410vn,2025,2025-09-01 23:33:08
325306,Laptop Apple MacBook Air 13 inch M2 16GB/256GB/10GPU (Z160),23090000,MacBook,Laptop,Apple M2,100GB/s,Card tích hợp - 10 nhân GPU,16 GB,Hãng không công bố Hãng không công bố,256 GB SSD,"13.6""",Wide color (P3),Liquid Retina (2560 x 1664),Hãng không công bố,macOS,Lên đến 18 giờ,5.0,901,https://www.thegioididong.com/laptop/apple-macbook-air-m2-2022-16gb-256gb-10gpu,6/2022,2025-09-01 23:33:09
338000,"Laptop MSI Gaming Katana 15 B13VEK - 2416VN (i5 13420H, 16GB, 512GB, RTX 4050 6GB, Full HD 144Hz, Win11)",23290000,MSI,Laptop,Intel Core i5 Raptor Lake - 13420H,2.10 GHz (Lên đến 4.60 GHz khi tải nặng),"Card rời - NVIDIA GeForce RTX 4050, 6 GB",16 GB,DDR5 (1 khe 8 GB + 1 khe 8 GB) 5200 MHz,512 GB SSD NVMe PCIe,"15.6""",IPS,Full HD (1920 x 1080),144Hz,Windows 11 Home SL,"3-cell, 53.5Wh",5.0,8,https://www.thegioididong.com/laptop/msi-katana-15-b13vek-i5-2416vn,2025,2025-09-01 23:33:09
340486,"Laptop HP 15 fd0235TU - 9Q970PA (i5 1334U, 16GB, 512GB, Full HD, Win11)",15490000,HP,Laptop,Intel Core i5 Raptor Lake - 1334U,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),Card tích hợp - Intel Iris Xe Graphics,16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB) 3200 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)","15.6""",IPS,Full HD (1920 x 1080),Hãng không công bố,Windows 11 Home SL,"3 cell, 41.04 Wh",5.0,545,https://www.thegioididong.com/laptop/hp-15-fd0235tu-i5-9q970pa,2023,2025-09-01 23:33:09
332452,Laptop MacBook Pro 16 inch Nano M4 Pro 24GB/512GB,67090000,MacBook,Laptop,Apple M4 Pro - Hãng không công bố,273 GB/s memory bandwidth,Card tích hợp - 20 nhân GPU,24 GB,Hãng không công bố Hãng không công bố,512 GB SSD,"16.2""",ProMotion,Liquid Retina XDR display (3456 x 2234),up to 120 Hz,macOS Sequoia,"Li-Po, 100 Wh",5.0,16,https://www.thegioididong.com/laptop/macbook-pro-16-nano-m4-pro-24-512,10/2024,2025-09-01 23:33:09
328815,"Laptop HP Envy X360 14 fa0050AU - A29H8PA (R5 8640HS, 16GB, 512GB, 2.8K OLED, Cảm ứng, Win11)",25890000,HP,Laptop,AMD Ryzen 5 - 8640HS,3.50 GHz (Lên đến 4.90 GHz khi tải nặng),Card tích hợp - AMD Radeon Graphics,16 GB,LPDDR5 (Onboard) 6400 MHz,512 GB SSD NVMe PCIe Gen 4.0,"14""",OLED,2.8K (2880 x 1800) - OLED 16:10,60Hz,Windows 11 Home SL,"3-cell Li-ion, 59 Wh",5.0,280,https://www.thegioididong.com/laptop/hp-envy-x360-14-fa0050au-r5-a29h8pa,2024,2025-09-01 23:33:11
339657,"Laptop Lenovo ThinkPad E16 - 21SR002SVN (Ultra 7 255H, 32GB, 512GB, WUXGA, Win11)",30290000,Lenovo,Laptop,Intel Core Ultra 7 Arrow Lake - 255H,2.00 GHz (Lên đến 5.10 GHz khi tải nặng),Card tích hợp - Intel Arc 140T,32 GB,DDR5 (1 khe 16 GB + 1 khe 16 GB) 5600 MHz,"512 GB SSD NVMe PCIe 4.0 (Có thể tháo ra, lắp thanh khác tối đa 1 TB (2242) / 1 TB (2280))","16""",IPS,WUXGA (1920 x 1200),60Hz,Windows 11 Home SL,48Wh,5.0,37,https://www.thegioididong.com/laptop/lenovo-thinkpad-e16-ultra-7-21sr002svn,2025,2025-09-01 23:33:11
326641,"Laptop Lenovo V14 G4 - 83A00012VN (i7 1355U, 16GB, 512GB, Full HD, Win11)",17990000,Lenovo,Laptop,Intel Core i7 Raptor Lake - 1355U,1.70 GHz (Lên đến 5.00 GHz khi tải nặng),Card tích hợp - Intel Iris Xe Graphics,16 GB,DDR4 (8 GB onboard + 1 khe 8 GB) 3200 MHz,512 GB SSD NVMe PCIe Gen 4.0,"14""",IPS,Full HD (1920 x 1080),60Hz,Windows 11 Home SL,38Wh,4.9,443,https://www.thegioididong.com/laptop/lenovo-thinkpad-v14-i7-83a00012vn,2024,2025-09-01 23:33:11
310449,"Laptop MSI Modern 15 B12MO - 625VN (i5 1235U, 8GB, 512GB, Full HD, Win11)",11490000,MSI,Laptop,Intel Core i5 Alder Lake - 1235U,1.30 GHz (Lên đến 4.40 GHz khi tải nặng),Card tích hợp - Intel Iris Xe Graphics,8 GB,DDR4 (Onboard) 3200 MHz,512 GB SSD NVMe PCIe,"15.6""",IPS,Full HD (1920 x 1080),60Hz,Windows 11 Home SL,"3-Cell, 39.3 Wh",4.9,2083,https://www.thegioididong.com/laptop/msi-modern-15-b12mo-i5-625vn,2023,2025-09-01 23:33:12
