sku,name,price,brand,category,rating,reviews_count,url,release_date,updated_at,cpu,cpu_speed,gpu,ram,storage,rearcam_specs,frontcam_specs,screen_size,screen_panel,screen_res,screen_rate,os,water_resistant,battery,charger,weight,material,connectivity,network,ports
332555,Máy tính bảng OPPO Pad 3 Pro 12GB/256GB,15590000,OPPO,Tablet,5.0,137,https://www.thegioididong.com/may-tinh-bang/oppo-pad-3-pro,12/2024,2025-09-22 09:03:34,Snapdragon 8 Gen 3 8 nhân,3.4 GHz,Adreno 750,12 GB,256 GB,13 MP,8 MP,"12.1""",LTPS LCD,2120 x 3000 Pixels,144 Hz,Android 14,IPX2,9510 mAh,67 W,586 g,Kim loại nguyên khối,"OTG, Wi-Fi 802.11 a/b/g/n, Wi-Fi 7, Wi-Fi 6, Wi-Fi 5, Dual-band, 6 GHz, v5.4",,Type-C
339285,Máy tính bảng OPPO Pad SE WiFi 4GB/128GB,5400000,OPPO,Tablet,5.0,1046,https://www.thegioididong.com/may-tinh-bang/oppo-pad-se-wifi-4gb-128gb,07/2025,2025-09-22 09:03:34,MediaTek Helio G100 8 nhân,2 nhân 2.2 GHz & 6 nhân 2 GHz,Mali-G57 MC2,4 GB,128 GB,5 MP,5 MP,"11.35""",IPS LCD,1200 x 2000 Pixels,90 Hz,Android 15,IPX2,9340 mAh,33 W,530 g,Khung nhựa & Mặt lưng hợp kim nhôm,"Wi-Fi Display, Wi-Fi 802.11 a/b/g/n, Wi-Fi 5, Dual-band, v5.0, OTG",,Type-C
334530,Máy tính bảng Xiaomi Pad 7 WiFi 8GB/256GB,11290000,Xiaomi,Tablet,5.0,2240,https://www.thegioididong.com/may-tinh-bang/xiaomi-pad-7-8gb-256gb,03/2025,2025-09-22 09:03:36,Snapdragon 7+ Gen 3 8 nhân,2.8 GHz,Andreno 732,8 GB,256 GB,13 MP,8 MP,"11.2""",IPS LCD,2136 x 3200 Pixels,144 Hz,Xiaomi HyperOS 2,,8850 mAh,45 W,500 g,Nhôm nguyên khối,"Wi-Fi Direct, Wi-Fi 6E, Wi-Fi 6, Dual-band, v5.4",,Type-C
334528,Máy tính bảng Xiaomi Pad 7 Pro WiFi 8GB/256GB,13740000,Xiaomi,Tablet,5.0,259,https://www.thegioididong.com/may-tinh-bang/xiaomi-pad-7-pro,03/2025,2025-09-22 09:03:40,Snapdragon 8s Gen 3 8 nhân,3 GHz,Andreno 735,8 GB,256 GB,50 MP,32 MP,"11.2""",IPS LCD,2136 x 3200 Pixels,144 Hz,Xiaomi HyperOS 2,,8850 mAh,67 W,500 g,Nhôm nguyên khối,"Wi-Fi Direct, Wi-Fi 7, Wi-Fi 6E, Wi-Fi 6, Dual-band, v5.4",,Type-C
322134,Máy tính bảng Samsung Galaxy Tab S6 Lite 2024 4G 4GB/64GB,7060000,Samsung,Tablet,4.9,2827,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-s6-lite-2024,04/2024,2025-09-22 09:03:45,Exynos 1280 8 nhân,2 nhân 2.4 GHz & 6 nhân 2 GHz,Mali-G68,4 GB,64 GB,8 MP,5 MP,"10.4""",TFT LCD,1200 x 2000 Pixels,60 Hz,Android 14,,7040 mAh,15 W,467 g,Kim loại nguyên khối,"Wi-Fi hotspot, Wi-Fi Direct, Wi-Fi 802.11 a/b/g/n/ac, Dual-band, v5.3",Hỗ trợ 4G,3.5 mm
326643,Máy tính bảng Lenovo Tab M11 WiFi 4GB/128GB,0,Lenovo,Tablet,5.0,382,https://www.thegioididong.com/may-tinh-bang/lenovo-tab-m11-wifi,06/2024,2025-09-22 09:03:50,MediaTek Helio G88 8 nhân,2 nhân 2.0 GHz & 6 nhân 1.8 GHz,Mali-G52 MC2,4 GB,128 GB,8 MP,8 MP,"10.95""",IPS LCD,1200 x 1920 Pixels,90 Hz,Android 13,IP52,7040 mAh,10 W,465 g,Kim loại nguyên khối,"v5.1, Wi-Fi 802.11 a/b/g/n/ac, Dual-band",,3.5 mm
336740,Máy tính bảng Samsung Galaxy Tab S10 FE+ WiFi 8GB/128GB,14590000,Samsung,Tablet,5.0,846,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-s10-fe-plus,04/2025,2025-09-22 09:03:50,Exynos 1580 8 nhân,2.9 GHz,Xclipse 540,8 GB,128 GB,13 MP,12 MP,"13.1""",TFT LCD,1800 x 2880 Pixels,90 Hz,Android 15,IP68,10090 mAh,45 W,664 g,Nhôm nguyên khối,"Wi-Fi Direct, Wi-Fi 6, MIMO, Dual-band, v5.3",,Type-C
335268,Máy tính bảng iPad Air M3 11 inch WiFi 256GB,18990000,iPad (Apple),Tablet,5.0,889,https://www.thegioididong.com/may-tinh-bang/ipad-air-m3-11-inch-wifi-256gb,03/2025,2025-09-22 09:03:51,Apple M3 8 nhân,Hãng không công bố,Apple GPU 9 nhân,8 GB,256 GB,12 MP,12 MP,"11""",Retina IPS LCD,1640 x 2360 Pixels,,iPadOS 18,,28.93 Wh,20 W,460 g,Nhôm nguyên khối,"v5.3, Wi-Fi 6E, MIMO, Dual-band",,Type-C
339204,Máy tính bảng Xiaomi Redmi Pad 2 WiFi 4GB/128GB,5200000,Xiaomi,Tablet,5.0,2606,https://www.thegioididong.com/may-tinh-bang/xiaomi-redmi-pad-2-wifi-4gb-128gb,06/2025,2025-09-22 09:03:54,MediaTek Helio G100-Ultra 8 nhân,2 nhân 2.2 GHz & 6 nhân 2 GHz,Mali-G57 MC2,4 GB,128 GB,8 MP,5 MP,"11""",IPS LCD,1600 x 2560 Pixels,90 Hz,Xiaomi HyperOS 2,,9000 mAh,18 W,519 g,Kim loại nguyên khối,"Wi-Fi 5, Dual-band, v5.3",,3.5 mm
325989,Máy tính bảng Xiaomi Redmi Pad Pro WiFi 8GB/128GB,7850000,Xiaomi,Tablet,4.9,2439,https://www.thegioididong.com/may-tinh-bang/xiaomi-redmi-pad-pro-8gb-128gb,06/2024,2025-09-22 09:03:54,Snapdragon 7s Gen 2 8 nhân,4 nhân 2.3 GHz & 4 nhân 1.95 GHz,Adreno 710,8 GB,128 GB,8 MP,8 MP,"12.1""",IPS LCD,1600 x 2560 Pixels,120 Hz,Xiaomi HyperOS (Android 14),,10000 mAh,33 W,571 g,Kim loại nguyên khối,"v5.2, Wi-Fi Direct, Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi 6, MIMO, Dual-band",,3.5 mm
