id,name,price,onsale_price,brand,os,stock,rating,reviews_count,category,is_new,is_selling,url,retailer,created_at,updated_at
30838,Vsmart Bee 5,,,Vsmart,9.0 (Pie),,,,Smartphone,True,False,https://cellphones.com.vn/vsmart-bee-5.html,CELLPHONES,2021-03-04 08:55:35,2025-08-22 23:22:26
67372,Xiaomi Redmi Pad SE Wifi (6GB 128GB),5400000,4400000,Xiaomi,"Android 13, MIUI Pad 14",36,5.0,15,Smartphone,True,True,https://cellphones.com.vn/xiaomi-redmi-pad-se.html,CELLPHONES,2023-08-16 16:00:39,2025-08-22 23:22:26
74345,Xiaomi Redmi Note 13 12GB 256GB,,,Xiaomi,,,,,Phone,True,False,https://cellphones.com.vn/dien-thoai-xiaomi-redmi-note-13-12gb-256.html,CELLPHONES,2023-12-23 15:17:54,2025-08-22 23:22:26
55509,Google Pixel 6 Pro,,,Hãng khác,Android 12,,,,Smartphone,True,False,https://cellphones.com.vn/google-pixel-6-pro.html,CELLPHONES,2022-10-27 14:27:18,2025-08-22 23:22:26
15842,Huawei P30 Pro,,,Huawei,Android v9.0 (Pie),,,,Smartphone,True,False,https://cellphones.com.vn/huawei-p30-pro-1.html,CELLPHONES,2019-03-27 15:16:39,2025-08-22 23:22:26
45454,Huawei Nova 9 SE,,,Huawei,"Android 11, EMUI 12  Không có dịch vụ của Google Play",,,,Smartphone,True,False,https://cellphones.com.vn/huawei-nova-9-se.html,CELLPHONES,2022-03-25 10:19:43,2025-08-22 23:22:26
42974,Samsung Galaxy S22 Ultra (12GB - 512GB),36990000,0,Samsung,Android 12,0,5.0,1,Smartphone,True,True,https://cellphones.com.vn/samsung-galaxy-s22-ultra-12gb-512gb.html,CELLPHONES,2022-02-07 14:46:58,2025-08-22 23:22:26
90676,Itel 9211 4G,490000,0,Hãng khác,,11,5.0,2,Phone,True,True,https://cellphones.com.vn/dien-thoai-itel-9211-4g.html,CELLPHONES,2024-09-12 09:56:27,2025-08-22 23:22:26
87123,OPPO A3 8GB 256GB,6490000,5680000,OPPO,"ColorOS 14, nền tảng Android 14",134,5.0,2,Smartphone,True,True,https://cellphones.com.vn/dien-thoai-oppo-a3-8gb-256gb.html,CELLPHONES,2024-07-27 16:27:17,2025-08-22 23:22:26
72211,OPPO A79 5G 8GB 256GB,7490000,6860000,OPPO, Android 13,166,5.0,5,Smartphone,True,True,https://cellphones.com.vn/oppo-a79.html,CELLPHONES,2023-11-09 13:53:48,2025-08-22 23:22:26
50677,vivo Y35 8GB 128GB,6990000,4590000,Vivo,"Android 12, Funtouch OS 12",0,5.0,3,Smartphone,True,True,https://cellphones.com.vn/vivo-y35.html,CELLPHONES,2022-08-02 15:34:31,2025-08-22 23:22:26
90113,iPhone 16 512GB | Chính hãng VN/A,31990000,27990000,Apple,iOS 18,0,5.0,2,Smartphone,True,True,https://cellphones.com.vn/iphone-16-512gb.html,CELLPHONES,2024-09-10 01:55:49,2025-08-22 23:22:26
81356,Huawei Pura 70,,,Huawei,,,5.0,1,Phone,True,False,https://cellphones.com.vn/dien-thoai-huawei-pura-70.html,CELLPHONES,2024-04-29 14:00:28,2025-08-22 23:22:26
35920,Xiaomi Redmi K50,0,0,Xiaomi,Android 11,0,,,Smartphone,True,False,https://cellphones.com.vn/xiaomi-redmi-k50.html,CELLPHONES,2021-08-05 14:07:59,2025-08-22 23:22:26
53192,Samsung Galaxy A75,,,Samsung,,,,,Phone,True,False,https://cellphones.com.vn/samsung-galaxy-a75.html,CELLPHONES,2022-09-15 16:18:49,2025-08-22 23:22:26
72748,Samsung Galaxy S24 Ultra 12GB 512GB,36810000,24690000,Samsung,"Android 14, One UI 6.1",69,4.9,8,Smartphone,True,True,https://cellphones.com.vn/samsung-galaxy-s24-ultra-512gb.html,CELLPHONES,2023-11-26 11:57:35,2025-08-22 23:22:26
109783,Điện thoại Masstel S7 4GB 128GB,,,Masstel,Android 14 Go,,,,Smartphone,True,False,https://cellphones.com.vn/dien-thoai-masstel-s7.html,CELLPHONES,2025-07-26 22:39:21,2025-08-22 23:22:26
55937,Huawei P50 Pocket S,,,Huawei,Harmony OS,,,,Smartphone,True,False,https://cellphones.com.vn/huawei-p50-pocket-s.html,CELLPHONES,2022-11-10 14:24:49,2025-08-22 23:22:26
62363,Masstel Tab 10.4,,,Hãng khác, Android 11,,,,Smartphone,True,False,https://cellphones.com.vn/masstel-tab-10-4.html,CELLPHONES,2023-04-11 23:05:22,2025-08-22 23:22:26
64877,Itel S23 8GB 128GB,3490000,2390000,Hãng khác,Android,0,5.0,10,Smartphone,True,True,https://cellphones.com.vn/itel-s23.html,CELLPHONES,2023-06-22 14:17:49,2025-08-22 23:22:26
67045,realme GT 5,,,Realme,Android 13,,,,Smartphone,True,False,https://cellphones.com.vn/realme-gt-5.html,CELLPHONES,2023-08-08 12:37:33,2025-08-22 23:22:26
88460,OnePlus 13,,,Realme,,,5.0,1,Phone,True,False,https://cellphones.com.vn/dien-thoai-oneplus-13.html,CELLPHONES,2024-08-19 20:58:23,2025-08-22 23:22:26
76439,Xiaomi 14T 12GB 512GB,13740000,13240000,Xiaomi,,142,5.0,43,Phone,True,True,https://cellphones.com.vn/xiaomi-14t.html,CELLPHONES,2024-02-01 21:57:13,2025-08-22 23:22:26
28979,Samsung Galaxy A73 (5G) 256GB - Chỉ có tại CellphoneS,12990000,0,Samsung,Android 12,0,4.9,28,Smartphone,True,True,https://cellphones.com.vn/samsung-galaxy-a73.html,CELLPHONES,2020-12-08 14:39:58,2025-08-22 23:22:26
65917,Masstel IZI 30,600000,0,Hãng khác,,1,,,Phone,True,True,https://cellphones.com.vn/masstel-izi-30.html,CELLPHONES,2023-07-13 20:04:51,2025-08-22 23:22:26
73650,Xiaomi Redmi A3 4GB 128GB,2990000,2390000,Xiaomi,Android 14,0,5.0,1,Smartphone,True,True,https://cellphones.com.vn/dien-thoai-xiaomi-redmi-a3.html,CELLPHONES,2023-12-13 21:38:41,2025-08-22 23:22:26
32366,Samsung Galaxy S22 Plus (8GB + 128GB),25990000,16990000,Samsung,Android 12,0,5.0,5,Smartphone,True,True,https://cellphones.com.vn/samsung-galaxy-s22-plus.html,CELLPHONES,2021-04-19 22:03:28,2025-08-22 23:22:26
65638,Xiaomi Redmi Note 12 8GB 128GB,5790000,4290000,Xiaomi,Android 12,0,4.9,57,Smartphone,True,True,https://cellphones.com.vn/xiaomi-redmi-note-12-8gb-128gb.html,CELLPHONES,2023-07-06 20:40:33,2025-08-22 23:22:26
62299,Xiaomi 13T Pro 5G 12GB 512GB - Chỉ có tại CellphoneS,0,0,Xiaomi,Android 13,0,5.0,29,Smartphone,True,False,https://cellphones.com.vn/xiaomi-13t-pro.html,CELLPHONES,2023-04-11 09:02:18,2025-08-22 23:22:26
84613,Samsung Galaxy Z Fold6 12GB 1TB,54990000,45490000,Samsung,Android,0,,,Smartphone,True,True,https://cellphones.com.vn/samsung-galaxy-z-fold-6-1tb.html,CELLPHONES,2024-06-11 17:39:20,2025-08-22 23:22:26
58609,Xiaomi POCO F5 Pro,,,Hãng khác,Android 13,,,,Smartphone,True,False,https://cellphones.com.vn/xiaomi-poco-f5-pro.html,CELLPHONES,2023-01-07 11:09:06,2025-08-22 23:22:26
105540,vivo Y28 8GB 256GB,6490000,5580000,Vivo,"Android 14, Funtouch OS 14",22,,,Smartphone,True,True,https://cellphones.com.vn/dien-thoai-vivo-y28-8gb-256gb.html,CELLPHONES,2025-05-08 22:53:57,2025-08-22 23:22:26
51347,masstel fami 60,,,Hãng khác,,,,,Phone,True,False,https://cellphones.com.vn/masstel-fami-60.html,CELLPHONES,2022-08-19 11:46:04,2025-08-22 23:22:26
85820,OPPO A18 4GB 64GB,3290000,2890000,OPPO,Android 13,164,,,Smartphone,True,True,https://cellphones.com.vn/dien-thoai-oppo-a18-4gb-64gb.html,CELLPHONES,2024-07-03 18:07:26,2025-08-22 23:22:26
59294,Samsung Galaxy S24 Ultra 12GB 256GB,29450000,23300000,Samsung,"Android 14, One UI 6.1",137,4.9,59,Smartphone,True,True,https://cellphones.com.vn/samsung-galaxy-s24-ultra.html,CELLPHONES,2023-02-01 15:33:20,2025-08-22 23:22:26
80418,Blackview Oscal Tiger 12,,,Hãng khác,Android 13,,,,Smartphone,True,False,https://cellphones.com.vn/dien-thoai-blackview-oscal-tiger-12.html,CELLPHONES,2024-04-11 23:03:45,2025-08-22 23:22:26
104478,Xiaomi POCO C71 4GB 128GB,3150000,2850000,Xiaomi,"Android 15, HyperOS",126,,,Smartphone,True,True,https://cellphones.com.vn/dien-thoai-xiaomi-poco-c71.html,CELLPHONES,2025-04-17 22:12:24,2025-08-22 23:22:26
